"","Name","longitude","latitude","Zone"
"99",TORONTO,-79.4,43.6666666666667,Toronto
"100",TORONTO LESTER B. PEARSON INT'L A,-79.6305555555556,43.6772222222222,Toronto
"101",TRENTON A,-77.5333333333333,44.1166666666667,East
"102",MOUNTAINVIEW,-77.3016916666667,44.05197,East
"103",TORONTO BUTTONVILLE A,-79.37,43.8622222222222,Toronto
"104",LINDSAY FROST,-78.7402783333333,44.3383533333333,Essa
"105",MINDEN,-78.7166666666667,44.9333333333333,Essa
"106",PETERBOROUGH A,-78.3666666666667,44.2333333333333,East
"107",PETERBOROUGH TRENT U,-78.3,44.3666666666667,East
"108",ATTAWAPISKAT A,-82.4319444444444,52.9275,Northwest
"109",BIG TROUT LAKE A,-89.8969444444444,53.8177777777778,Northwest
"110",BIG TROUT LAKE,-89.8916666666667,53.8161111111111,Northwest
"111",EAR FALLS (AUT),-93.2213888888889,50.6305555555556,Northwest
"112",FORT SEVERN A,-87.6761111111111,56.0188888888889,Northwest
"113",LANSDOWNE HOUSE A,-87.9341666666667,52.1955555555556,Northwest
"114",LANSDOWNE HOUSE (AUT),-87.9361111111111,52.1961111111111,Northwest
"115",MUSKRAT DAM,-91.7627777777778,53.4413888888889,Northwest
"116",PEAWANUCK (AUT),-85.4333333333333,54.9833333333333,Northwest
"117",PEAWANUCK A,-85.4433333333333,54.9880555555556,Northwest
"118",PICKLE LAKE (AUT),-90.2177797222222,51.4491669444444,Northwest
"119",RED LAKE A,-93.7930555555556,51.0672222222222,Northwest
"120",SANDY LAKE A,-93.3444444444444,53.0641666666667,Northwest
"121",ATIKOKAN (AUT),-91.6280555555556,48.7611111111111,Northwest
"122",FORT FRANCES RCS,-93.4388894444444,48.6511111111111,Northwest
"123",MINE CENTRE SOUTHWEST,-92.6227777777778,48.7597388888889,Northwest
"124",DRYDEN REGIONAL,-92.7441666666667,49.8275,Northwest
"125",KENORA RCS,-94.3777777777778,49.7905555555556,Northwest
"126",KENORA A,-94.3630555555556,49.7883333333333,Northwest
"127",RAWSON LAKE (AUT),-93.7327783333333,49.6641669444444,Northwest
"128",ROYAL ISLAND (AUT),-94.7630555555556,49.4686111111111,Northwest
"129",SIOUX LOOKOUT A,-91.9080555555555,50.1141666666667,Northwest
"130",SIOUX LOOKOUT AIRPORT,-91.9055555555556,50.1141666666667,Northwest
"131",ARMSTRONG (AUT),-88.9052777777778,50.2936111111111,Northwest
"132",ARMSTRONG A,-88.9097222222222,50.2902777777778,Northwest
"133",CAMERON FALLS (AUT),-88.3447222222222,49.1538888888889,Northwest
"134",CARIBOU ISLAND (AUT),-85.8333333333333,47.3333333333333,Northwest
"135",GERALDTON A,-86.9386111111111,49.7786111111111,Northwest
"136",GERALDTON A,-86.9886111111111,49.7786111111111,Northwest
"137",GERALDTON AIRPORT,-86.93232,49.78091,Northwest
"138",HAZELWOOD,-89.2666666666667,48.4666666666667,Northwest
"139",MARATHON A,-86.3458333333333,48.7572222222222,Northwest
"140",PUKASKWA (AUT),-86.2872222222222,48.6077777777778,Northwest
"141",TERRACE BAY AIRPORT,-87.0916780555556,48.8155705555556,Northwest
"142",THUNDER BAY,-89.3216666666667,48.3719444444444,Northwest
"143",THUNDER BAY A,-89.3216666666667,48.3719444444444,Northwest
"144",THUNDER BAY BURWOOD,-89.27825,48.4139444444444,Northwest
"145",THUNDER BAY CS,-89.3272222222222,48.3694444444444,Northwest
"146",UPSALA (AUT),-90.4666666666667,49.0333333333333,Northwest
"147",WELCOME ISLAND (AUT),-89.1194444444444,48.3691666666667,Northwest
"148",LITTLE FLATLAND ISLAND (AUT),-88.3058333333333,49.69,Northwest
"149",LAKE SUPERIOR PROVINCIAL PARK,-84.8141666666667,47.7230555555556,Northeast
"150",SAULT STE MARIE A,-84.5097222222222,46.485,Northeast
"151",SAULT STE. MARIE AIRPORT,-84.5166666666667,46.4780555555556,Northeast
"152",WAWA A,-84.7863888888889,47.9669444444444,Northeast
"153",KILLARNEY (AUT),-81.4833333333333,45.9666666666667,Northeast
"154",CHAPLEAU A,-83.3469444444444,47.8202777777778,Northeast
"155",MONETVILLE 2,-80.3030555555556,46.2152777777778,Northeast
"156",SUDBURY CLIMATE,-80.7961333333333,46.6322472222222,Northeast
"157",BONNER LAKE,-82.1236111111111,49.3833333333333,Northeast
"158",EARLTON A,-79.8488888888889,47.695,Northeast
"159",EARLTON CLIMATE,-79.8488888888889,47.695,Northeast
"160",KAPUSKASING A,-82.4683333333333,49.4116666666667,Northeast
"161",KAPUSKASING CDA ON,-82.4436111111111,49.4063888888889,Northeast
"162",KIRKLAND LAKE CS,-80,48.15,Northeast
"163",MOOSONEE,-80.6077777777778,51.2911111111111,Northeast
"164",MOOSONEE RCS,-80.6180555555556,51.2916666666667,Northeast
"165",NAGAGAMI (AUT),-84.1636944444444,49.7468333333333,Northeast
"166",OGOKI POST A,-85.9011111111111,51.6586111111111,Northwest
"167",TIMMINS CLIMATE,-81.3902777777778,48.5572222222222,Northeast
"168",TIMMINS A,-81.3766666666667,48.5705555555556,Northeast
"169",ALGONQUIN PARK EAST GATE,-78.2666666666667,45.5333333333333,Essa
"170",NORTH BAY A,-79.4241666666667,46.3638888888889,Northeast
"171",NORTH BAY AIRPORT,-79.4025,46.375,Northeast
"172",GORE BAY-MANITOULIN,-82.5672222222222,45.8816666666667,Northeast
"173",GORE BAY CLIMATE,-82.5666666666667,45.8833333333333,Northeast
"174",GREAT DUCK ISLAND (AUT),-82.95,45.6333333333333,Northeast
"175",APPLETON,-76.112805,45.18584,East
"176",BROCKVILLE CLIMATE,-75.7483333333333,44.6352777777778,East
"177",GRENADIER ISLAND,-75.85,44.4166666666667,East
"178",KEMPTVILLE CS,-75.6333333333333,45,East
"179",KINGSTON CLIMATE,-76.5994444444444,44.2233333333333,East
"180",KINGSTON A,-76.5966666666667,44.2258333333333,East
"181",MOOSE CREEK WELLS,-74.9627777777778,45.2511111111111,East
"182",OMPAH-SEITZ,-76.7839133333333,45.053625,East
"183",OTTAWA CDA RCS,-75.7166666666667,45.3833333333333,Ottawa
"184",OTTAWA INTL A,-75.6666666666667,45.3166666666667,Ottawa
"185",PEMBROKE CLIMATE,-77.2522222222222,45.8602777777778,Essa
"186",PETAWAWA AWOS 2,-77.3166666666667,45.95,Essa
"187",PETAWAWA HOFFMAN,-77.25,45.8833333333333,Essa
"188",BALDWIN,-79.3188966666667,44.266955,Essa
"189",BARRIE LANDFILL,-79.7361111111111,44.3852777777778,Essa
"190",BEATRICE CLIMATE,-79.4027777777778,45.1402777777778,Essa
"191",COLDWATER WARMINSTER,-79.538905,44.6311216666667,Essa
"192",COLLINGWOOD,-80.2166666666667,44.5,Southwest
"193",LAGOON CITY,-79.2166666666667,44.5472222222222,Essa
"194",MARKDALE,-80.7119466666667,44.2689,Southwest
"195",MUSKOKA,-79.3033333333333,44.9747222222222,Essa
"196",ORILLIA BRAIN,-79.4388888888889,44.6027777777778,Essa
