Time,mean,std,cv
2018,15689.103424657535,2318.5539386682626,0.1477811622443857
2019,15422.540525114155,2265.8804352843936,0.14692005066186214
2020,15052.985428051003,2496.068755542615,0.1658188515144132
2021,15279.019406392694,2303.635846710211,0.15077118402941336
2022,15704.322488584476,2309.6082679550964,0.14706831635901252
2023,15654.192237442923,2146.791604565316,0.13713844649425294
2024,15985.561361566484,2273.138728805817,0.1421994934923614
