"","Date","Ontario.Demand","Northwest","Northeast","Ottawa","East","Toronto","Essa","Bruce","Southwest","Niagara","West"
"353","2020-12-18",407543,14390,32667,27609,25749,145774,27941,3799,78565,11862,43715
"354","2020-12-19",386479,14480,31510,26982,26920,134830,26620,3415,73122,11165,39712
"355","2020-12-20",370821,14573,29909,25182,25335,129660,25284,3187,69725,10791,39201
"356","2020-12-21",388715,14439,30936,24915,24349,138684,25894,2448,75633,11370,42062
"357","2020-12-22",390143,14174,31878,26020,23685,139177,25531,2272,75768,11683,41566
"358","2020-12-23",381848,14465,31327,27336,25315,135147,25384,2022,73898,10994,38022
"359","2020-12-24",360456,15156,29851,24311,22769,125985,24325,2271,68135,10647,37529
"360","2020-12-25",354497,15316,30095,22548,22124,122899,24965,2246,66608,10303,37744
"361","2020-12-26",361005,14832,30724,24178,23793,125167,25613,2247,68419,10777,37832
"362","2020-12-27",360642,14418,31374,24436,24421,125381,25767,2397,67619,10574,37584
"363","2020-12-28",366409,15106,31902,24994,24275,127831,25036,2144,69489,10721,38002
"364","2020-12-29",379528,14246,32412,26097,23017,134139,26945,2620,73044,10707,39548
"365","2020-12-30",377785,13723,32050,26482,25399,134725,26311,3372,70673,10582,37504
"366","2020-12-31",366003,13908,30885,24341,22906,128823,25265,3600,68265,10510,39006
