,rho
1,0.9515433783077146
2,0.9625821269900754
3,0.9709277200466386
4,0.9724676037316861
5,0.9715603751003241
6,0.9724203766578945
7,0.9725327494273539
8,0.9714206500249267
9,0.9696581045133529
10,0.9686305172299675
