W_years,n_train,p_bins,missing_bins_on_holdout,nll,nll_per_pt,aic,stability_mw,diurnal_amp
1.0,8760,288,0,75827.38562900429,8.63244371914894,152230.77125800858,1061.0308258563757,0.2556085952230749
2.0,17520,288,0,74773.83663012649,8.512504170096367,150123.67326025298,925.0556857416299,0.21086477855176225
3.0,26280,288,0,74988.68148320103,8.536962828233268,150553.36296640206,879.1362153279679,0.2710149774579694
5.0,43824,288,0,75337.695155201,8.576695714389913,151251.390310402,846.7067195101556,0.3237471074796999
10.0,87648,288,0,75290.74592659308,8.571350856852582,151157.49185318616,724.4476763776246,0.45207954462912625
15.0,131472,288,0,74878.82413969414,8.524456300056254,150333.6482793883,,0.5550890617120886
20.0,175320,288,0,75144.37629963057,8.5546876479543,150864.75259926115,,0.45213034914341604
