"","DATE","MEAN_TEMPERATURE","MIN_TEMPERATURE","MAX_TEMPERATURE","TOTAL_PRECIPITATION","TOTAL_SNOW","SNOW_ON_GROUND","DIRECTION_MAX_GUST","SPEED_MAX_GUST","COOLING_DEGREE_DAYS","HEATING_DEGREE_DAYS","MIN_REL_HUMIDITY","MAX_REL_HUMIDITY","Demand","HOEP","Hour.1.Predispatch","Hour.2.Predispatch","Hour.3.Predispatch","OR.10.Min.Sync","OR.10.Min.non.sync","OR.30.Min"
"229","2020-08-16",20.2649560825648,15.7300159200703,24.8039480805497,9.94180387838284,0,0,20.7132716049383,40.3291666666667,2.49147123407993,0.226515151515152,61.7081685581686,96.0980605605606,40832.8888888889,19.0616666666667,19.1191666666667,19.0870833333333,20.1770833333333,1.81458333333333,1.12583333333333,0.55375
"230","2020-08-17",19.2094106297216,13.7499184562738,24.6379603528828,4.77312169312169,0,0,25.6808926437959,45.4540834613415,1.73230493339189,0.522894303670339,54.230595990558,96.6193004134339,42408.6666666667,19.0366666666667,19.7041666666667,19.6575,21.295,2.73375,2.18583333333333,0.764166666666667
"231","2020-08-18",17.4887448327816,12.485737463925,22.4572373924207,0.690623015873016,0,0,28.9657407407407,39.2953703703704,0.67103040913335,1.18228557635175,50.2771275472495,94.432178673391,36545.3,15.3629166666667,18.00125,18.0645833333333,18.3425,3.58291666666667,2.86875,0.883333333333333
"232","2020-08-19",16.3395509442249,10.4661571146245,22.1819368686869,1.05848116280005,0,0,23.8813405797101,42.0902173913043,0.194010430390865,1.85445948616601,46.6188271604938,93.5730767814892,35484.2,16.0804166666667,17.1595833333333,17.03125,17.1779166666667,2.56083333333333,1.95708333333333,1.13458333333333
"233","2020-08-20",17.2823927962489,10.6466534120895,23.8834179048431,1.36972123544879,0,0,19.4101851851852,37.7296875,0.611721156578573,1.32932836032964,55.2316186800058,93.8613535061116,36727.1,12.13375,16.3120833333333,16.4116666666667,15.41,2.11041666666667,1.94333333333333,0.973333333333333
"234","2020-08-21",20.9883028223827,15.4806038922348,26.4558419914015,0.66361544011544,0,0,23.2111111111111,37.5870535714286,3.23502349999458,0.246720677611858,55.7241592325524,94.0826408973707,39970.4,19.7608333333333,20.7175,20.0966666666667,20.2525,2.87875,2.24125,1.40875
"235","2020-08-22",21.6684971259914,15.834837077387,27.4753460804612,0.859530303030303,0,0,19.8961038961039,40.2575757575758,3.85685006716784,0.18835294117647,53.233888721792,95.9494650809167,40076.8,23.70375,22.2216666666667,21.5279166666667,20.9404166666667,2.67208333333333,1.66,1.08208333333333
"236","2020-08-23",22.5527258334164,16.7294490391677,28.3694459104092,4.36495595048227,0,0,20.55,37.825,4.78615862682359,0.233432793407218,55.0997813336685,96.4690342188422,45526.7777777778,19.8245833333333,37.2945833333333,33.4241666666667,28.3270833333333,3.79125,1.8625,0.820416666666667
"237","2020-08-24",23.2397298407607,17.6643592985801,28.765749305647,3.84791305916306,0,0,25.9845238095238,43.946831232493,5.39353699173548,0.153807150974736,55.7847623055956,96.149220378387,50748,25.6433333333333,35.0241666666667,36.45,36.2629166666667,6.26625,4.64583333333333,0.522083333333333
"238","2020-08-25",19.5768590789892,14.6381634437239,24.5479845129395,0.230084175084175,0,0,26.2474617974618,42.3468741135408,2.58190884791567,1.00504976892651,48.8262512512513,94.0714953048286,47625.2222222222,23.3983333333333,24.31,24.34125,24.94625,1.2525,0.522916666666667,0.24125
"239","2020-08-26",16.0817816885208,11.3019712349513,20.8512764550265,8.64614250614251,0,0,17.993125,38.60875,0.654517195767196,2.57273550724638,59.5788942030808,95.9703060918346,40996.2222222222,19.625,NA,NA,NA,1.21666666666667,0.272083333333333,0.23375
"240","2020-08-27",19.1438890834111,14.5175318524423,23.7849614845938,5.66285254410254,0,0,24.5631731572521,46.4240696438065,2.90619880143537,1.76230971802423,68.9150185366156,96.9783969576166,45430,17.4525,19.6320833333333,18.6425,19.215,2.01375,0.897916666666667,0.2725
"241","2020-08-28",17.9334804704173,13.6770018785507,22.1904371051792,8.95784284284284,0,0,17.4095545977011,41.1517600574713,1.03145623873878,1.09797576832151,65.1398404982797,96.7171169110068,42123.7777777778,15.325,19.89,19.6066666666667,20.2620833333333,2.4225,1.5375,1.53625
"242","2020-08-29",18.1782988788592,14.637762489168,21.6958860885414,7.54435360172202,0,0,28.1298183135902,50.4265144699355,1.64283435376786,1.46453547490864,67.8558707374497,95.543353332827,38823.5555555556,7.8675,9.85125,11.0983333333333,11.3066666666667,1.57333333333333,0.7225,0.7225
"243","2020-08-30",15.9706306995789,11.2070561755664,20.7510154381984,0.979444116828018,0,0,26.0879687140557,37.0644409937888,0.1907605466429,2.22012984706399,53.4065786893978,93.7928752030385,35871.2222222222,11.2570833333333,11.03875,11.12375,11.475,0.672083333333333,0.50375,0.498333333333333
"244","2020-08-31",16.6417682962772,10.4863850652872,22.7672883461705,1.60369883252237,0,0,14.2617927239879,40.7704791820645,0.510205314009662,1.86843701773252,51.0231911280463,94.6017844675536,40007.3333333333,15.26,16.4854166666667,16.1495833333333,16.8,2.105,1.23291666666667,1.19791666666667
"245","2020-09-01",19.9738110922893,14.7328686992928,25.1887727764072,4.01250633750634,0,0,20.5138651471985,39.9706756206756,2.6683659599625,0.694554867673147,58.6706556826904,94.0581656314968,44618,17.9404166666667,18.5641666666667,18.5408333333333,18.8716666666667,2.80708333333333,0.871666666666667,0.284583333333333
"246","2020-09-02",20.1444430145387,15.3898852775016,24.861219365007,4.87269180435847,0,0,24.5316351776878,45.8461270698113,2.90765939830038,0.763216383761684,59.0502686095245,95.2027078101034,45075.3333333333,18.2554166666667,18.2966666666667,17.9458333333333,17.7775,2.47583333333333,0.765833333333333,0.507083333333333
"247","2020-09-03",18.1584830282227,12.0739337020086,24.2168103229087,4.01824879149441,0,0,24.8737449790989,52.3822230000996,1.33934316467497,1.18086013645224,51.8976768229642,94.8505595086055,42218.8888888889,12.47625,17.9841666666667,18.00625,17.1120833333333,3.92125,3.42,3.39541666666667
"248","2020-09-04",15.6985562860667,10.8292188242157,20.5491726708297,0.796838624338625,0,0,27.0795096716149,46.1510175605205,0.205651337390468,2.50709505132378,45.6571445448639,88.7585845927951,38175.4444444444,8.76333333333333,15.0029166666667,15.695,15.055,3.985,3.20291666666667,1.86208333333333
"249","2020-09-05",14.6469195184295,8.88485379256373,20.3801949845961,0.954493923832158,0,0,24.9094932844933,41.0655168905169,0.0594771241830066,3.41255760575347,48.5111101311441,93.6019865020431,34614.2222222222,19.36375,14.5625,14.7725,14.4758333333333,2.91458333333333,2.07208333333333,2.06958333333333
"250","2020-09-06",13.8775451173735,7.32116551049271,20.4087180896724,5.68689560526303,0,0,18.0496527777778,47.6010416666667,0.0104166666666667,4.13287154929312,49.4759170653908,95.7992529887267,33295.6666666667,8.00041666666667,11.5520833333333,11.1275,9.97125,1.32291666666667,0.962083333333333,0.8775
"251","2020-09-07",16.548536464601,11.8338383804869,21.2347132894492,5.52363782613783,0,0,22.4857652094494,59.5156071511335,0.870244848415138,2.32170838381409,61.9248375312042,93.2228022904593,35791.2222222222,12.315,10.6766666666667,10.705,10.42375,1.815,1.70166666666667,1.57625
"252","2020-09-08",13.3921440109603,10.236468625378,16.5091152300163,1.77374734183945,0,0,13.6403409090909,38.3869318181818,0.207434640522876,4.81529062956254,66.563485122059,94.1415351673416,38317.3333333333,18.4375,18.2675,17.9295833333333,18.8870833333333,2.94958333333333,2.05291666666667,0.5
"253","2020-09-09",13.9382416413374,11.0901127708337,16.7762365369367,1.7150155904467,0,0,11.9083333333333,37.1916666666667,0.128253562294483,4.19001192095709,77.9074931385009,97.3852093133427,35398.4,21.1695833333333,NA,NA,NA,1.24166666666667,0.735833333333333,0.550416666666667
"254","2020-09-10",14.0538846421169,10.7521225780139,17.3419380430248,0.377776943895365,0,0,23.975542975543,35.8189995189995,0.0748866542664496,4.02100201214957,68.2790053906353,97.9724648865566,35261.7,21.2995833333333,20.72125,20.4479166666667,20.2729166666667,0.697083333333333,0.398333333333333,0.31875
"255","2020-09-11",12.843410326087,7.79129848678602,17.8843161231884,0.0951545121545122,0,0,11.277366255144,35.0088888888889,0,5.15658967391304,53.5375942267049,94.3969561929635,33231.9,20.0504166666667,18.1470833333333,17.9945833333333,17.5454166666667,3.08875,2.16291666666667,1.53875
"256","2020-09-12",14.0946708918844,7.39581558998869,20.7601343681629,3.20620317097091,0,0,15.9001399868248,37.700055288914,0.064375,3.96970410811565,62.9350217865676,95.8999757903734,31135.9,11.7695833333333,14.495,14.7333333333333,13.38,3.70125,2.82,1.21875
"257","2020-09-13",17.1034006875477,12.882100902614,21.2577750107948,6.94264675065591,0,0,26.4659936879235,46.7286317645967,0.999385026737968,1.89598433919022,61.33136931419,96.4456075874365,32449.2,8.92166666666667,9.98916666666667,9.84541666666667,9.65125,3.62291666666667,3.065,3.065
"258","2020-09-14",10.9839390619526,6.11992721784181,15.8213463575107,0.0278395061728396,0,0,25.1246913580247,36.8524691358025,0,7.01606093804741,47.5640270404976,93.1644851880146,36496.1111111111,12.2920833333333,13.5308333333333,13.2545833333333,13.5325,5.14375,4.22833333333333,2.85166666666667
"259","2020-09-15",10.9427110001707,4.60061925845607,17.261586611347,0.699622159030054,0,0,21.3956407563025,40.3056547619048,0,7.05728899982932,58.9254609587943,94.6802068302068,36729.1111111111,13.8379166666667,14.5591666666667,15.1595833333333,14.51375,7.04708333333333,6.7775,6.7775
"260","2020-09-16",15.0422372169636,9.56510686121675,20.4805237011393,0.252170704539126,0,0,22.8095013156778,46.7330235124353,0.237158114966086,3.19492089800253,53.9225669392336,90.1970819304153,36992.5555555556,4.69833333333333,7.86125,8.08291666666667,7.67541666666667,7.13541666666667,6.95666666666667,6.95666666666667
"261","2020-09-17",11.1753630604289,6.30224666253175,16.0215899187014,0.0204188398925241,0,0,20.0560794346979,38.3301900584795,0.00617283950617284,6.83080977907732,44.7351247517914,88.9516748683415,36896.8888888889,14.18875,NA,NA,NA,3.99416666666667,3.41083333333333,3.41083333333333
"262","2020-09-18",8.41882833843505,2.82846137836864,14.0066418181378,0.0653342506593281,0,0,21.3400793650794,38.9312372812373,0,9.58117166156495,36.0939696106363,86.2113614780282,35761.1111111111,10.0345833333333,13.9358333333333,14.1158333333333,13.3516666666667,3.79916666666667,1.3675,1.28958333333333
"263","2020-09-19",7.83529157675829,1.56638399822094,14.0756230389551,0.351610902570655,0,0,11.9970238095238,34.3592796092796,0,10.1647084232417,40.4819444444445,88.492157687991,33849.7777777778,11.1791666666667,12.3454166666667,12.94375,10.715,6.16083333333333,1.08958333333333,1.08958333333333
