"","MEAN_TEMPERATURE","MIN_TEMPERATURE","MAX_TEMPERATURE","TOTAL_PRECIPITATION","TOTAL_SNOW","SNOW_ON_GROUND","DIRECTION_MAX_GUST","SPEED_MAX_GUST","COOLING_DEGREE_DAYS","HEATING_DEGREE_DAYS","MIN_REL_HUMIDITY","MAX_REL_HUMIDITY","Demand","Time"
"1",-1.02719644386155,-0.834994954158445,-1.17077937257906,-0.447908530227788,-0.219429834285548,-0.179636135848301,0.573512126500499,-0.343740598173034,-0.52244999591232,1.08326405233596,0.78211841300289,0.069524700450389,-0.866449451134849,1
"2",-0.734418129714817,-0.704685696321259,-0.748305451478359,-0.447908530227788,-0.219429834285548,-0.32368614655594,-0.187300233191639,-0.366254236545277,-0.52244999591232,0.73031718732934,0.700450175532043,-0.0304204698749886,-0.231798132064175,2
"3",-0.482178351373014,-0.287213444361383,-0.6437224465,-0.374614976007595,0.488283589652685,-0.305679895217485,0.573512126500499,-1.0529202068987,-0.52244999591232,0.426239888246716,1.02712312541542,0.189458904840847,-0.24228631030809,3
"4",-0.858285878007667,-0.599714349730192,-1.06516089230389,-0.243297358029749,0.205198220077392,0.252513896274616,0.880291303795716,-0.602647439453832,-0.52244999591232,0.879640860985983,1.19045960035711,1.0689764037042,-0.45216641050021,4
"5",-1.0249443029835,-0.813276744518914,-1.18216960084403,0.3064042986217,2.27172141797703,-0.251661141202121,0.892562470887525,-0.568876981895467,-0.52244999591232,1.08054907645129,0.7471177398011,1.08896543776928,-0.483339606947401,5
"6",-0.999044682885905,-0.833788386956249,-1.12107655833192,-0.30437531987991,-0.219429834285548,1.33288897658191,0.720766131602203,1.09713225765054,-0.52244999591232,1.04932685377763,0.0471042757652878,0.909064131183594,0.344177656497487,6
"7",-1.11728207898363,-1.25367377332052,-0.97093264029368,-0.350183791267531,0.176889683119862,0.540613917689894,0.0213096073691084,-0.32122695980079,-0.52244999591232,1.19186308772261,0.735450848733834,-0.230310810525756,0.429598041528483,7
"8",-1.4551032106914,-1.45879019769387,-1.41618701792432,-0.298267523694894,0.205198220077392,0.684663928397533,0.892562470887525,1.50237774835092,-0.52244999591232,1.59910947042255,-0.209567327714512,-0.0504095039400689,0.686849746788952,8
"9",-1.43933822454504,-1.94383021297673,-0.974039066184126,-0.417369549302708,-0.191121297328019,0.540613917689894,-1.24262060308719,-0.163631491195087,-0.52244999591232,1.58010463922989,0.677116393397519,-0.270288878655904,0.880240100075361,9
"10",-0.583524690885346,-0.608160320145565,-0.55260062038024,0.94466899995588,-0.219429834285548,-0.251661141202121,-0.040046228089935,-0.163631491195087,-0.52244999591232,0.548413803056698,1.14379203608806,1.36881191468035,0.382867380686151,10
"11",-0.27160317927517,-0.330649863640446,-0.214000198321592,11.6882824893992,-0.0495786125403725,-0.305679895217485,0.287184894358301,0.166568538264478,-0.52244999591232,0.172389643030416,2.80049056763948,1.36881191468035,-0.325783862661035,11
"12",-1.28394050395946,-1.24764093730954,-1.28468165522876,1.31419066914935,-0.0778871494979018,-0.107611130494482,1.21161281527455,0.89450951230035,-0.52244999591232,1.39277130318791,1.55213322344228,1.0689764037042,-0.129888000127468,12
"13",-1.20286343234959,-1.17886660678435,-1.19459530440582,-0.42958514167274,-0.16281276037049,-0.251661141202121,-1.75800962094315,-0.264942863870182,-0.52244999591232,1.29503217133992,2.43415018812741,0.921057551622639,0.635457673393769,13
"14",-0.909602516586133,-0.740193245414461,-1.03483625861143,-0.454016326412804,-0.219429834285548,-0.251661141202121,-1.67620184033109,0.0164776157828598,-0.52244999591232,0.941503525786592,2.04214264826735,1.28885577842005,0.552775868237573,14
"15",-0.743285934422146,-0.509825093166577,-0.931325710190489,-0.423477345487724,-0.0778871494979018,-0.215648638525211,0.880291303795716,-0.208658767939574,-0.52244999591232,0.741007404875214,0.824119220845039,0.417333893182718,0.431346071235802,15
"16",-1.3030837014229,-1.42741945043677,-1.1666374713918,-0.423477345487724,-0.13450422341296,-0.0355861251406622,1.1379858127237,1.27724136462849,-0.52244999591232,1.41584859820757,0.770451521935624,0.789129926793136,0.535120768193649,16
"17",-2.08908086786299,-2.19600275823573,-1.95359869697154,-0.454016326412804,-0.219429834285548,-0.305679895217485,0.328088784664325,-0.771499727245657,-0.52244999591232,2.36337518195611,0.0121036025634972,-1.52959802475571,0.904246374722544,17
"18",-1.34137009634978,-1.58306661952007,-1.10347347828606,3.12820613609914,9.99995200738254,0.324538901628435,-1.04628192961825,1.09713225765054,-0.52244999591232,1.4620031882469,1.20212649142438,1.18491280128165,0.435016933621172,18
"19",-1.52266743703295,-1.67114602528039,-1.3613068271931,-0.374614976007595,0.120272609204804,5.0061642496267,0.769850799969438,0.331668552994266,-0.52244999591232,1.68055874696254,0.723783957666575,0.109502768580538,0.111281831825665,19
"20",-1.98323024659455,-2.21289469906647,-1.74132626112437,-0.435692937857756,-0.219429834285548,4.64603922285761,1.268878261703,-0.771499727245657,-0.52244999591232,2.23577131537679,-0.384570693723465,0.069524700450389,1.00959429841698,20
"21",-1.75238580659424,-1.98967976666019,-1.51041526993453,-0.454016326412804,-0.219429834285548,4.42996420679615,0.409896565276387,-0.583886074143625,-0.52244999591232,1.95748628719849,0.840452868339206,-0.150354674265446,0.987976997703132,21
"22",-1.3334876032766,-1.40690780799943,-1.23808526687207,-0.454016326412804,-0.219429834285548,3.99781417467323,-0.162757899008022,-0.25368604468406,-0.52244999591232,1.45250077265057,1.0037893432809,-0.410212117111443,0.848659030029795,22
