"","DATE","MEAN_TEMPERATURE","MIN_TEMPERATURE","MAX_TEMPERATURE","TOTAL_PRECIPITATION","TOTAL_SNOW","SNOW_ON_GROUND","DIRECTION_MAX_GUST","SPEED_MAX_GUST","COOLING_DEGREE_DAYS","HEATING_DEGREE_DAYS","MIN_REL_HUMIDITY","MAX_REL_HUMIDITY","ALLSKY_SFC_SW_DWN","HOEP","Demand","Hour.1.Predispatch","Hour.2.Predispatch","Hour.3.Predispatch","OR.10.Min.Sync","OR.10.Min.non.sync","OR.30.Min"
"1","2020-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20125,2.32166666666667,1.96333333333333,1.85083333333333,0.399166666666667,0.399166666666667
"2","2020-01-02",2.88888888888889,1.2,4.53333333333333,0,0,-0.4,-6.2,-0.199999999999996,0,-2.8888888888889,-1.1666666666667,-0.8333333333333,1.37923076923077,-0.54125,10892,0.31,0.542083333333333,0.2525,3.83208333333333,0.407916666666667,0.407916666666667
"3","2020-01-03",2.48888888888889,3.84444444444444,1.12222222222222,0.342857142857142,1.25,0.05,6.2,-6.1,0,-2.4888888888889,4.6666666666667,1.8333333333333,-1.71384615384616,16.57625,-180,12.2104166666667,11.5095833333333,10.8970833333333,1.83208333333333,1.08916666666667,0.445833333333333
"4","2020-01-04",-3.71111111111111,-2.87777777777778,-4.52222222222222,0.614285714285715,-0.5,1.55,2.5,4,0,3.7111111111111,2.3333333333333,7.3333333333333,0.31461538461539,-1.5333333333333,-3602,16.0525,16.0566666666667,15.3566666666667,1.66375,0.225833333333333,0.225833333333333
"5","2020-01-05",-1.64444444444445,-1.96666666666666,-1.25555555555556,2.57142857142857,3.65,-1.4,0.100000000000001,0.299999999999997,0,1.6444444444445,-6.3333333333333,0.1666666666667,1.44846153846153,-9.3679166666667,-535,10.29375,10.62375,10.2220833333333,2.41041666666667,0.220833333333333,0.220833333333333
"6","2020-01-06",0.255555555555556,-0.18888888888889,0.65555555555556,-2.85714285714286,-4.4,4.4,-1.4,14.8,0,-0.255555555555599,-10,-1.5,-0.0461538461538398,-2.23458333333333,14202,8.21375,8.21833333333333,9.21583333333333,2.41291666666667,0.860416666666667,0.860416666666667
"7","2020-01-07",-1.16666666666667,-3.86666666666667,1.61111111111111,-0.214285714285714,0.7,-2.2,-5.7,-12.6,0,1.1666666666667,9.8333333333333,-9.5,0.0769230769230695,4.69041666666666,1466,11.4195833333333,12.44,12.0475,5.20833333333333,4.27208333333333,4.15208333333333
"8","2020-01-08",-3.33333333333333,-1.88888888888889,-4.77777777777778,0.242857142857143,0.05,0.4,7.1,16.2,0,3.3333333333333,-13.5,1.5,0.95923076923077,0.273333333333341,4415,7.22166666666667,7.12,7.41375,5.47833333333333,4.75791666666667,3.95791666666667
"9","2020-01-09",0.155555555555551,-4.46666666666671,4.74444444444445,-0.557142857142858,-0.7,-0.4,-17.4,-14.8,0,-0.155555555555502,12.6666666666667,-1.8333333333333,-0.65461538461538,3.64458333333333,3319,14.5416666666667,14.7625,14.4483333333333,5.63291666666667,3.79166666666667,3.76041666666667
"10","2020-01-10",8.44444444444445,12.3,4.52222222222222,6.37142857142857,-0.05,-2.2,9.8,0,0,-8.4444444444445,6.6666666666667,13.6666666666666,-2.74076923076923,-1.6970833333333,-8536,6.07708333333333,5.96958333333333,6.36541666666667,6.27208333333333,4.93708333333333,4.82333333333333
