,Time,DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,Demand,HOEP,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,ALLSKY_SFC_SW_DWN,Weekday
0,330,2020-11-25,1.19753525594105,-2.4653739691602,4.84896470746109,7.34668871252205,1.40124579124579,6.08663570691435,14.1800925925926,37.1084656084656,0.0,16.802464744059,81.6443171026504,97.2662004662005,42838.0,11.76,14.1141666666667,13.52,14.4,16.11625,13.1629166666667,6.70416666666667,2.44088244655908,Wednesday
1,142,2020-05-21,14.3788729840105,6.49812718797047,22.2147037745787,0.0706143117907824,0.0,0.0,18.1644144144144,35.0079633204633,0.143705673758866,3.76483268974839,27.0630950023107,79.1733610615963,33149.5555555556,9.41416666666667,8.24125,7.38125,6.78625,4.82291666666667,4.82291666666667,2.93208333333333,28.9925548725027,Thursday
2,115,2020-04-24,4.30957246753373,-0.90968514986767,9.46361499836134,0.135595998543367,0.0320987654320988,5.82728121551651,15.1121082621083,38.4118233618234,0.0,13.6904275324663,32.9066646860764,80.5049613784908,35440.6666666667,11.4475,12.5191666666667,11.50375,9.79208333333333,4.2775,3.48833333333333,0.629166666666667,16.0244979964078,Friday
3,158,2020-06-06,16.6598589618837,11.3608920383859,21.9587647292558,0.58687007712885,0.0,0.0,26.1373677248677,44.0639097744361,0.980846631581925,2.32098766969824,45.5218956254215,89.5529623988489,36015.6666666667,6.60416666666667,9.99541666666667,10.0254166666667,9.03916666666667,10.7416666666667,10.725,10.725,25.0433780710835,Saturday
4,292,2020-10-18,7.92335826381964,4.1951380203849,11.6083629010663,4.47407906128959,0.152954545454546,0.362222222222223,22.0698412698413,45.8163410663411,0.0,10.0766417361804,53.1993493399119,91.1882938799454,31616.8,3.79875,3.08583333333333,2.31833333333333,1.23458333333333,1.24291666666667,0.327083333333333,0.327083333333333,4.48693016364071,Sunday
5,216,2020-08-03,19.0503470389766,14.8636764423966,23.2666987600193,6.06506373256373,0.0,0.0,25.1129867046534,42.4440720747738,2.17899102716771,1.12864398819109,64.5927985009579,95.7249474048336,39565.6666666667,14.89,15.855,15.9708333333333,15.7683333333333,5.73083333333333,0.354166666666667,0.354166666666667,17.2134139437455,Monday
6,112,2020-04-21,0.255285018852279,-3.82064414029181,4.32706480581645,1.6249686716792,0.808530303030303,4.46419413919413,28.5397266313933,63.201254609588,0.0,17.7447149811477,43.5035155476332,88.4325847249946,32356.4,-0.0579166666666667,-4.336808689942023e-19,-0.0058333333333333,-0.0091666666666666,0.18375,0.18375,0.18375,16.6887509127648,Tuesday
7,15,2020-01-15,-2.3948749350725,-5.15414090352127,0.360032936485573,1.63229717813051,2.29916386083053,13.1508778879264,28.3084077380952,38.939880952381,0.0,20.3948749350725,74.59906016616,92.8143593752349,44120.8888888889,13.1083333333333,17.21375,16.7325,18.0145833333333,3.03,2.55375,1.84666666666667,3.40602352174798,Wednesday
8,254,2020-09-10,14.0538846421169,10.7521225780139,17.3419380430248,0.377776943895365,0.0,0.0,23.975542975543,35.8189995189995,0.0748866542664496,4.02100201214957,68.2790053906353,97.9724648865566,35261.7,21.2995833333333,20.72125,20.4479166666667,20.2729166666667,0.697083333333333,0.398333333333333,0.31875,9.54656494167065,Thursday
9,24,2020-01-24,-0.950189645101197,-4.23167732874148,2.32025419265935,8.35810707323864,0.419332210998877,19.6373912880492,9.18620731120731,41.5308441558442,0.0,18.9501896451012,61.1426238188335,91.7129080746016,43109.8888888889,2.96875,10.7575,11.6079166666667,11.6495833333333,15.9445833333333,15.65125,10.7841666666667,5.11603354877811,Friday
10,193,2020-07-11,22.3013170207331,18.6691560389344,25.9027363360803,7.57679526355996,0.0,0.0,30.3765605759212,41.6989911906792,4.53616550558153,0.234848484848485,66.8951642831724,95.4947064528365,44640.1111111111,14.65,16.54,16.67125,16.7858333333333,5.0075,4.7875,0.624583333333333,14.0558898502061,Saturday
11,257,2020-09-13,17.1034006875477,12.882100902614,21.2577750107948,6.94264675065591,0.0,0.0,26.4659936879235,46.7286317645967,0.999385026737968,1.89598433919022,61.33136931419,96.4456075874365,32449.2,8.92166666666667,9.98916666666667,9.84541666666667,9.65125,3.62291666666667,3.065,3.065,10.9429634671126,Sunday
12,83,2020-03-23,-0.0503756731899726,-3.3718657333662,3.2722456623975,3.31845676691729,1.39530303030303,13.3589552990869,15.3049242424242,38.4176136363636,0.0,18.05037567319,65.8654550091347,96.6021013550646,37350.3,16.6608333333333,18.0670833333333,17.6766666666667,17.35875,0.498333333333333,0.22875,0.228333333333333,8.49865526516961,Monday
13,63,2020-03-03,-0.519856886805156,-4.7847150442731,3.7361821820927,6.89939183222465,0.522491582491582,23.5319280163708,25.8466320716321,41.9376678876679,0.0,18.5198568868051,70.1221840813739,96.7534683815254,42939.4444444444,20.1079166666667,18.4216666666667,17.49625,18.2745833333333,3.37958333333333,3.00166666666667,2.99791666666667,7.00306705287466,Tuesday
