,Time,DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,ALLSKY_SFC_SW_DWN,HOEP,Demand,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,Weekday
1,36.0,2020-02-05,-5.30138888888889,-4.90416666666667,-5.71111111111111,1.83333333333333,2.33333333333333,0.0,1.0,0.600000000000001,0.0,5.3013888888889,-17.0,12.5,6.78384615384616,3.6216666666666,3876.0,19.6120833333333,19.4954166666667,19.9283333333333,2.42708333333333,1.64125,0.413333333333333,Wednesday
2,191.0,2020-07-09,0.414285714285697,0.128571428571401,0.721428571428596,-6.27666666666667,0.0,0.0,-3.5,-15.3333333333333,0.4142857142857,0.0,-0.6666666666666,-1.6666666666667,2.3361538461538,23.0379166666666,1888.0,79.42875,76.5845833333333,76.7883333333333,14.46875,13.6770833333333,4.63625,Thursday
3,255.0,2020-09-11,-2.875,-3.275,-2.525,-0.016666666666666,0.0,0.0,-11.6666666666667,1.0,0.0,2.875,-11.1666666666666,-9.1666666666667,6.8292307692308,-1.2491666666666,-5237.0,18.1470833333333,17.9945833333333,17.5454166666667,3.08875,2.16291666666667,1.53875,Friday
4,116.0,2020-04-25,0.112500000000001,-2.8625,3.0625,-0.133333333333333,0.0,0.0,-8.6666666666667,-0.6666666666667,0.0,-0.112500000000001,-11.0,12.0,14.4176923076923,-8.45,-10610.0,7.42375,7.79166666666667,7.44666666666667,2.43083333333333,1.54416666666667,0.295833333333333,Saturday
5,117.0,2020-04-26,2.15,6.1625,-1.8875,1.28333333333333,0.0,0.0,-1.4,10.4,0.0,-2.15,13.3333333333334,0.0,-16.7953846153846,-1.775,1515.0,1.92125,2.58541666666667,2.61083333333333,3.12875,2.25416666666667,1.41916666666667,Sunday
6,6.0,2020-01-06,0.255555555555556,-0.18888888888889,0.65555555555556,-2.85714285714286,-4.4,4.4,-1.4,14.8,0.0,-0.255555555555599,-10.0,-1.5,-0.0461538461538398,-2.23458333333333,14202.0,8.21375,8.21833333333333,9.21583333333333,2.41291666666667,0.860416666666667,0.860416666666667,Monday
7,21.0,2020-01-21,2.27777777777778,2.0555555555555,2.47777777777778,-0.0857142857142857,0.0,-0.6,-7.0,1.6666666666667,0.0,-2.2777777777778,17.5,-1.8333333333333,-5.79538461538461,-3.01375,-371.0,19.1195833333333,18.7875,19.1729166666667,4.32625,4.14041666666667,3.95375,Tuesday
8,330.0,2020-11-25,3.8375,2.79166666666667,4.83333333333333,5.04166666666667,-0.666666666666667,-2.00000000000003,-4.0,-0.8333333333333,0.0,-3.8375,16.7,3.25,-1.38153846153846,-3.9483333333333,-1718.0,14.1141666666667,13.52,14.4,16.11625,13.1629166666667,6.70416666666667,Wednesday
9,114.0,2020-04-23,0.07678571428571,-0.18035714285714,0.33928571428571,-0.11,0.0,0.0,-19.7333333333333,-13.2,0.0,-0.0767857142856982,-0.6666666666667,-2.1666666666666,-8.1969230769231,-14.1925,-1519.0,14.3904166666667,14.4204166666667,12.97625,6.94916666666667,6.9275,2.79166666666667,Thursday
10,290.0,2020-10-16,-4.575,-5.6375,-3.4875,-8.86666666666667,0.0,0.0,3.9333333333333,-5.8,0.0,4.575,-31.8333333333334,-4.8333333333333,11.1153846153846,3.57791666666667,-2825.0,14.0083333333333,13.7325,14.24,4.70125,4.2025,2.68875,Friday
11,326.0,2020-11-21,-7.7625,-5.525,-9.9875,0.0,0.0,0.0,3.0666666666667,-7.0,0.0,7.7625,7.1666666666667,-11.0,-3.76461538461539,12.755,-3593.0,12.1133333333333,11.6625,11.9579166666667,13.5145833333333,4.59625,2.9475,Saturday
12,285.0,2020-10-11,-7.1428571428571,-3.75892857142857,-10.5464285714286,-0.28,0.0,0.0,-24.0,-4.6666666666667,0.0,7.14285714285714,6.6666666666667,-7.1666666666667,7.68307692307695,3.06666666666667,-4030.0,5.425,5.39166666666667,3.78958333333333,0.290833333333333,0.21125,0.21125,Sunday
13,132.0,2020-05-11,-0.2875,-0.1625,-0.475,0.98333333333334,0.6,0.0,1.6,12.2,0.0,0.2875,-1.0,8.0,1.5338461538461,-0.4120833333333,10729.0,12.9766666666667,12.8729166666667,12.4716666666667,5.95583333333333,5.92875,3.14583333333333,Monday
14,259.0,2020-09-15,-0.367857142857099,-2.57321428571429,1.8464285714286,0.04,0.0,0.0,-9.9,-2.2,0.0,0.36785714285714,13.3,0.466666666666697,-4.9746153846154,1.5458333333334,-443.0,14.5591666666667,15.1595833333333,14.51375,7.04708333333333,6.7775,6.7775,Tuesday
15,211.0,2020-07-29,0.128571428571501,0.557142857142797,-0.300000000000001,0.8,0.0,0.0,-2.5333333333333,-3.8666666666667,0.12857142857143,0.0,7.8333333333334,2.8333333333333,-1.4253846153846,3.9883333333333,-2214.0,16.6320833333333,16.2325,15.5183333333333,7.31458333333333,1.34541666666667,1.34416666666667,Wednesday
16,352.0,2020-12-17,1.6375,0.625,2.6125,-0.433333333333333,-1.13333333333333,0.5,-1.8,-14.4,0.0,-1.6375,0.0,-3.8333333333334,1.39615384615385,12.0654166666667,-4602.0,65.9633333333333,68.0475,56.36,9.35375,9.0075,5.99916666666667,Thursday
