,DATE,Time,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,Demand,HOEP,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,ALLSKY_SFC_SW_DWN
236,2020-08-24,237,23.23972984076073,17.66435929858011,28.765749305646963,3.84791305916306,0.0,0.0,25.98452380952381,43.946831232493,5.39353699173548,0.1538071509747357,55.78476230559562,96.14922037838704,50748.0,25.6433333333333,35.0241666666667,36.45,36.2629166666667,6.26625,4.64583333333333,0.522083333333333,18.75514341499885
237,2020-08-25,238,19.576859078989155,14.638163443723863,24.54798451293945,0.230084175084175,0.0,0.0,26.24746179746179,42.34687411354079,2.5819088479156744,1.005049768926511,48.82625125125125,94.07149530482864,47625.22222222222,23.3983333333333,24.31,24.34125,24.94625,1.2525,0.522916666666667,0.24125,19.578932896029087
238,2020-08-26,239,16.08178168852082,11.30197123495131,20.85127645502645,8.646142506142507,0.0,0.0,17.993125,38.60875,0.6545171957671959,2.5727355072463767,59.57889420308082,95.97030609183456,40996.22222222222,19.625,,,,1.21666666666667,0.272083333333333,0.23375,14.268146418396412
239,2020-08-27,240,19.143889083411143,14.517531852442334,23.784961484593836,5.662852544102544,0.0,0.0,24.563173157252088,46.42406964380649,2.906198801435375,1.7623097180242313,68.91501853661562,96.97839695761655,45430.0,17.4525,19.6320833333333,18.6425,19.215,2.01375,0.8979166666666669,0.2725,11.8921122909699
240,2020-08-28,241,17.933480470417265,13.67700187855069,22.19043710517921,8.957842842842842,0.0,0.0,17.40955459770115,41.15176005747127,1.0314562387387802,1.0979757683215134,65.1398404982797,96.7171169110068,42123.77777777778,15.324999999999998,19.89,19.6066666666667,20.2620833333333,2.4225,1.5375,1.53625,13.674519682230011
241,2020-08-29,242,18.178298878859223,14.637762489168036,21.695886088541425,7.5443536017220225,0.0,0.0,28.12981831359024,50.42651446993551,1.6428343537678578,1.4645354749086357,67.8558707374497,95.54335333282702,38823.55555555556,7.867500000000001,9.85125,11.0983333333333,11.3066666666667,1.57333333333333,0.7225,0.7225,11.250315236635355
242,2020-08-30,243,15.97063069957891,11.207056175566402,20.7510154381984,0.979444116828018,0.0,0.0,26.087968714055663,37.06444099378882,0.1907605466428996,2.220129847063989,53.4065786893978,93.79287520303856,35871.22222222222,11.2570833333333,11.03875,11.12375,11.475,0.672083333333333,0.50375,0.4983333333333329,18.883513881368245
243,2020-08-31,244,16.641768296277156,10.486385065287209,22.76728834617048,1.6036988325223656,0.0,0.0,14.26179272398785,40.77047918206455,0.5102053140096618,1.8684370177325225,51.02319112804629,94.60178446755356,40007.333333333336,15.26,16.4854166666667,16.1495833333333,16.8,2.105,1.23291666666667,1.19791666666667,20.032327464122037
244,2020-09-01,245,19.973811092289345,14.73286869929284,25.18877277640719,4.012506337506336,0.0,0.0,20.51386514719848,39.97067562067562,2.6683659599625003,0.6945548676731468,58.67065568269035,94.05816563149683,44618.0,17.9404166666667,18.5641666666667,18.5408333333333,18.8716666666667,2.80708333333333,0.871666666666667,0.284583333333333,15.661966081382388
245,2020-09-02,246,20.14444301453871,15.38988527750163,24.86121936500699,4.87269180435847,0.0,0.0,24.53163517768781,45.84612706981128,2.907659398300384,0.7632163837616837,59.0502686095245,95.20270781010343,45075.333333333336,18.2554166666667,18.2966666666667,17.9458333333333,17.7775,2.47583333333333,0.765833333333333,0.507083333333333,12.078280431907068
