,Time,DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,ALLSKY_SFC_SW_DWN,HOEP,Demand,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,Weekday
1,106.0,2020-04-15,-2.2,-2.07142857142858,-2.34285714285714,0.06,0.0,0.0,4.6,-8.2,0.0,2.2,6.0,-2.5,-1.3569230769231,8.06999999999997,3047.0,9.89125,9.64541666666667,10.1320833333333,2.105,2.105,1.56,Wednesday
2,163.0,2020-06-11,-3.9428571428571,-1.4428571428571,-6.3857142857143,-16.62,0.0,0.0,4.8,-6.59999999999999,-3.94285714285714,0.0,-13.8333333333333,0.3333333333333,1.2484615384615,-6.08,-21732.0,3.95083333333333,4.45041666666667,4.47166666666667,6.81375,6.26958333333333,0.47875,Thursday
3,325.0,2020-11-20,3.72857142857143,5.76071428571429,1.6642857142857,0.0,0.0,0.0,3.8,2.4,0.0,-3.7285714285714,6.0,2.1666666666667,2.19461538461539,0.14875,-6708.0,2.83916666666667,3.17708333333333,2.68916666666667,2.46083333333333,2.46083333333333,1.65916666666667,Friday
4,95.0,2020-04-04,1.4875,3.4375,-0.449999999999999,-1.03333333333333,0.0,0.0,-19.0,-5.8,0.0,-1.4875,13.5,3.3333333333333,-0.0307692307692005,2.2,-7507.0,13.1575,13.0445833333333,13.1891666666667,2.87208333333333,1.965,1.59333333333333,Saturday
5,110.0,2020-04-19,2.41428571428571,2.44285714285715,2.4,0.12,0.0,0.0,13.4,7.0,0.0,-2.4142857142857,16.0,-4.3333333333333,-11.9515384615384,-2.64416666666667,-1976.0,2.92833333333333,2.99083333333333,3.23625,1.40583333333333,0.760833333333333,0.760833333333333,Sunday
6,279.0,2020-10-05,2.15892857142857,0.39821428571429,3.8732142857143,-2.62333333333333,0.0,0.0,,,0.0,-2.15892857142857,-29.3333333333333,0.1666666666667,7.47384615384618,-2.78749999999997,10109.0,9.74791666666667,9.845,9.98666666666667,0.235833333333333,0.235833333333333,0.235833333333333,Monday
7,182.0,2020-06-30,-1.8821428571429,-0.637500000000003,-3.1357142857143,-0.046666666666667,0.0,0.0,-17.5,0.5,-1.88214285714286,0.0,15.8333333333334,9.3333333333333,-1.9684615384615,-1.4995833333334,-3184.0,15.9783333333333,15.9970833333333,16.9625,5.08166666666667,4.42583333333333,0.837916666666667,Tuesday
8,330.0,2020-11-25,3.8375,2.79166666666667,4.83333333333333,5.04166666666667,-0.666666666666667,-2.00000000000003,-4.0,-0.8333333333333,0.0,-3.8375,16.7,3.25,-1.38153846153846,-3.9483333333333,-1718.0,14.1141666666667,13.52,14.4,16.11625,13.1629166666667,6.70416666666667,Wednesday
9,226.0,2020-08-13,1.6214285714286,3.3482142857143,-0.139285714285702,-0.04,0.0,0.0,-2.0,-5.0,1.62142857142857,0.0,7.5,4.8333333333333,-0.16,-5.765,6880.0,23.0970833333333,22.0941666666667,23.735,6.25541666666667,4.75166666666667,0.671666666666667,Thursday
10,290.0,2020-10-16,-4.575,-5.6375,-3.4875,-8.86666666666667,0.0,0.0,3.9333333333333,-5.8,0.0,4.575,-31.8333333333334,-4.8333333333333,11.1153846153846,3.57791666666667,-2825.0,14.0083333333333,13.7325,14.24,4.70125,4.2025,2.68875,Friday
11,81.0,2020-03-21,-10.975,-5.3875,-16.525,-3.45,0.0,0.0,5.0,-22.8,0.0,10.975,-32.1666666666666,-25.8333333333333,11.1684615384616,17.0816666666667,-2678.0,16.0191666666667,16.0216666666667,15.4266666666667,5.58,4.7725,3.83083333333333,Saturday
12,334.0,2020-11-29,0.350000000000001,-2.375,3.0375,0.25,0.0,0.0,-2.2,-5.0,0.0,-0.35,9.6333333333333,-9.3333333333333,-0.0999999999999996,1.88791666666667,-2043.0,7.27416666666667,7.37625,6.38541666666667,10.1829166666667,9.06833333333333,2.21416666666667,Sunday
13,34.0,2020-02-03,2.56666666666667,1.65555555555556,3.42222222222222,-4.67142857142857,-2.6,-0.6,8.5,11.5,0.0,-2.5666666666667,-27.3333333333334,-6.0,6.62538461538462,2.94125,7464.0,16.5095833333333,16.9033333333333,16.6125,5.3425,4.92666666666667,4.39625,Monday
14,224.0,2020-08-11,-3.3595238095238,-4.2809523809524,-2.4595238095238,0.0,0.0,0.0,6.0,6.2,-3.35952380952381,0.0,-9.2666666666667,-4.06666666666671,-5.6392307692308,1.9695833333333,-9073.0,29.0645833333333,28.615,28.6116666666667,7.20666666666667,7.06875,3.16875,Tuesday
15,351.0,2020-12-16,-2.575,-1.7375,-3.4375,0.5,1.26666666666666,0.0,-22.6,13.4,0.0,2.575,3.0,5.1666666666667,-3.46923076923077,1.4595833333333,7466.0,30.0358333333333,29.5991666666667,29.92375,3.09666666666667,2.71833333333333,1.5675,Wednesday
16,128.0,2020-05-07,-0.28571428571429,-0.68571428571429,0.0857142857142001,1.42,0.0,0.0,24.3,7.75,0.0,0.285714285714301,1.1666666666666,12.3333333333333,-6.64,0.95583333333334,1886.0,4.78125,4.5975,3.89208333333333,1.11458333333333,1.11458333333333,1.11458333333333,Thursday
