cell,label,cov_68_all,crps_mean_all,exkurt_h1_all
C,SMC global Gaussian,0.7149999999999999,539.1928756320789,-0.03849247097969055
D,SMC global empirical,0.6862499999999999,542.1936741488366,4.825137615203857
E,SMC prod Gaussian,0.7065833333333332,547.5713834979094,-0.03849257528781891
F,SMC prod empirical,0.6806666666666666,550.7143844299051,4.811822414398193
