daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
saturday,22,72,1249.5936279296875,0.00035992718767374754,-0.14146381616592407,C
sunday,22,71,1160.7376708984375,-0.021272476762533188,-0.04107103496789932,C
weekday,22,357,1251.599609375,0.0030092562083154917,-0.09556466341018677,C
all,22,500,1238.4083251953125,-0.0008202538592740893,-0.09443604946136475,C
saturday,23,72,1147.64208984375,0.001214950461871922,-0.13827848434448242,C
sunday,23,71,1073.3709716796875,-0.01676223985850811,-0.0329657644033432,C
weekday,23,357,1149.56787109375,0.00511972839012742,-0.09630672633647919,C
all,23,500,1138.470703125,0.0014502019621431828,-0.09335624426603317,C
saturday,24,72,1051.2938232421875,4.5676613808609545e-05,-0.13399416208267212,C
sunday,24,71,987.6681518554688,-0.0065015763975679874,-0.029926462098956108,C
weekday,24,357,1054.516845703125,0.004985353443771601,-0.10128741711378098,C
all,24,500,1044.5601806640625,0.002642896259203553,-0.09586393088102341,C
saturday,1,72,148.8063507080078,0.18377456068992615,3.950528860092163,D
sunday,1,71,150.2451934814453,0.08162067830562592,7.281850814819336,D
weekday,1,357,150.15750122070312,-0.016373230144381523,4.512939453125,D
all,1,500,149.9753875732422,0.0263631921261549,4.825137615203857,D
saturday,2,72,257.0412902832031,0.13000844419002533,2.9174931049346924,D
sunday,2,71,264.9998779296875,0.09281326830387115,4.781411647796631,D
weekday,2,357,258.3478698730469,-0.013931302353739738,3.0803956985473633,D
all,2,500,259.10430908203125,0.021953750401735306,3.2984819412231445,D
saturday,3,72,342.1706237792969,0.10741154104471207,2.2220466136932373,D
sunday,3,71,351.24267578125,0.04505530372262001,3.269322633743286,D
weekday,3,357,345.418212890625,-0.013254879042506218,2.230635643005371,D
all,3,500,345.7776184082031,0.012401132844388485,2.376892328262329,D
saturday,4,72,414.7422790527344,0.06839186698198318,1.7630352973937988,D
sunday,4,71,416.4154968261719,-0.0020876002963632345,2.2153232097625732,D
weekday,4,357,419.4502868652344,-0.009798921644687653,1.6690055131912231,D
all,4,500,418.34136962890625,0.0025555614847689867,1.7601227760314941,D
saturday,5,72,491.5572814941406,0.013807890936732292,1.3356404304504395,D
sunday,5,71,484.20941162109375,-0.03778782859444618,1.8494998216629028,D
weekday,5,357,500.3165283203125,-0.019976763054728508,1.3241063356399536,D
all,5,500,496.7679443359375,-0.017640940845012665,1.400373101234436,D
saturday,6,72,631.6077270507812,-0.02309110388159752,1.1036853790283203,D
sunday,6,71,606.9257202148438,-0.028758227825164795,1.6075236797332764,D
weekday,6,357,642.3992919921875,-0.031893327832221985,1.0437088012695312,D
all,6,500,635.80810546875,-0.03018062375485897,1.1324070692062378,D
saturday,7,72,854.0472412109375,-0.03019005060195923,0.9303447008132935,D
sunday,7,71,811.169921875,-0.0019153784960508347,1.345394253730774,D
weekday,7,357,869.16650390625,-0.03272585943341255,0.9144229888916016,D
all,7,500,858.7537841796875,-0.02798561565577984,0.9779136180877686,D
saturday,8,72,1025.6087646484375,-0.04230225831270218,0.8672097325325012,D
sunday,8,71,961.6022338867188,0.020128803327679634,1.1279613971710205,D
weekday,8,357,1040.550537109375,-0.03098165988922119,0.8438640236854553,D
all,8,500,1027.188232421875,-0.025354141369462013,0.8875676393508911,D
saturday,9,72,1087.8936767578125,-0.052642062306404114,0.7952853441238403,D
sunday,9,71,1007.9885864257812,0.018613500520586967,1.0028959512710571,D
weekday,9,357,1097.1090087890625,-0.039487890899181366,0.8056640625,D
all,9,500,1083.126953125,-0.03313170000910759,0.8321765065193176,D
saturday,10,72,1148.685302734375,-0.05528077110648155,0.705345630645752,D
sunday,10,71,1057.262939453125,0.027787717059254646,0.9920896887779236,D
weekday,10,357,1154.6954345703125,-0.04062632471323013,0.6876282095909119,D
all,10,500,1139.9945068359375,-0.03302176669239998,0.7334131002426147,D
saturday,11,72,1214.2301025390625,-0.04991273581981659,0.600421667098999,D
sunday,11,71,1116.5797119140625,0.031299397349357605,1.0177026987075806,D
weekday,11,357,1219.990966796875,-0.03497055172920227,0.5892666578292847,D
all,11,500,1204.47705078125,-0.0277118943631649,0.6517108082771301,D
