level,daytype,horizon,n_days,cov_emp,se,cell
0.6827,weekday,3,357,0.7619047619047619,0.022541955634816712,C
0.6827,all,3,500,0.76,0.019099738218101316,C
0.6827,saturday,4,72,0.7222222222222222,0.05278589931014528,C
0.6827,sunday,4,71,0.7605633802816901,0.05064467838459024,C
0.6827,weekday,4,357,0.7619047619047619,0.022541955634816712,C
0.6827,all,4,500,0.756,0.019207498535728174,C
0.6827,saturday,5,72,0.7361111111111112,0.05194167979702981,C
0.6827,sunday,5,71,0.6901408450704225,0.054880979931595526,C
0.6827,weekday,5,357,0.7535014005602241,0.02280946778176572,C
0.6827,all,5,500,0.742,0.019567115270269147,C
0.6827,saturday,6,72,0.4722222222222222,0.05883456031082794,C
0.6827,sunday,6,71,0.49295774647887325,0.05933319697178108,C
0.6827,weekday,6,357,0.7478991596638656,0.022981298366630737,C
0.6827,all,6,500,0.672,0.02099599961897504,C
0.6827,saturday,7,72,0.1527777777777778,0.042399673805588435,C
0.6827,sunday,7,71,0.15492957746478872,0.04294221526646171,C
0.6827,weekday,7,357,0.8095238095238095,0.020782656212951653,C
0.6827,all,7,500,0.622,0.02168483340955148,C
0.6827,saturday,8,72,0.1111111111111111,0.037037037037037035,C
0.6827,sunday,8,71,0.04225352112676056,0.023874130344503686,C
0.6827,weekday,8,357,0.8263305322128851,0.020049545336368914,C
0.6827,all,8,500,0.612,0.021792475765731623,C
0.6827,saturday,9,72,0.16666666666666666,0.04392052305789416,C
0.6827,sunday,9,71,0.1267605633802817,0.03948476670993462,C
0.6827,weekday,9,357,0.7787114845938375,0.02197018022053908,C
0.6827,all,9,500,0.598,0.021926969694875762,C
0.6827,saturday,10,72,0.2916666666666667,0.05356683548799136,C
0.6827,sunday,10,71,0.28169014084507044,0.05338417835400071,C
0.6827,weekday,10,357,0.7142857142857143,0.0239093545358778,C
0.6827,all,10,500,0.592,0.021978898971513564,C
0.6827,saturday,11,72,0.4444444444444444,0.05856069741052554,C
0.6827,sunday,11,71,0.36619718309859156,0.057174899223846616,C
0.6827,weekday,11,357,0.6722689075630253,0.024842553144602795,C
0.6827,all,11,500,0.596,0.021944657664224338,C
0.6827,saturday,12,72,0.4861111111111111,0.05890282708333089,C
0.6827,sunday,12,71,0.43661971830985913,0.05886041495942303,C
0.6827,weekday,12,357,0.6750700280112045,0.02478764066364334,C
0.6827,all,12,500,0.614,0.0217717247823869,C
0.6827,saturday,13,72,0.5555555555555556,0.05856069741052554,C
0.6827,sunday,13,71,0.5211267605633803,0.059286088431625354,C
0.6827,weekday,13,357,0.7002801120448179,0.024247086903448914,C
0.6827,all,13,500,0.654,0.021273645667821018,C
0.6827,saturday,14,72,0.5416666666666666,0.058720605990582514,C
