daytype,horizon,theta_h,cond_S_h,drift_err,diff_err,drift_rel,diff_rel
sunday,2,0.0,409.03257046427586,0.40904741925428384,0.05386760612534492,0.19231488882283707,0.0714089944454642
sunday,4,0.0,539.3674389313547,0.9316724951770778,0.2048864937284812,0.5012993370449356,0.1404343924978682
sunday,8,0.0,865.2283529273675,1.8073784176913255,0.6281482401145936,1.046076953969105,0.2381902063230858
sunday,12,0.0,1030.0099546910058,2.4393152471362303,1.0713531861301775,1.6905652054728921,0.30925980108256185
sunday,24,0.0,1143.8361529491835,2.0576996423703475,2.024190107902268,2.514204336348198,0.4318073618019635
