"","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",4.66,"Southwest","2020-01-01"
"2",4.93,"Southwest","2020-01-02"
"3",3.26,"Southwest","2020-01-03"
"4",3.21,"Southwest","2020-01-04"
"5",3.52,"Southwest","2020-01-05"
"6",5.53,"Southwest","2020-01-06"
"7",5.69,"Southwest","2020-01-07"
"8",4.77,"Southwest","2020-01-08"
"9",3.84,"Southwest","2020-01-09"
"10",2.39,"Southwest","2020-01-10"
"11",1.75,"Southwest","2020-01-11"
"12",4.15,"Southwest","2020-01-12"
"13",2.15,"Southwest","2020-01-13"
"14",3.01,"Southwest","2020-01-14"
"15",3.84,"Southwest","2020-01-15"
"16",4.24,"Southwest","2020-01-16"
"17",4.83,"Southwest","2020-01-17"
"18",1.64,"Southwest","2020-01-18"
"19",4.46,"Southwest","2020-01-19"
"20",8.11,"Southwest","2020-01-20"
"21",7.2,"Southwest","2020-01-21"
"22",9.08,"Southwest","2020-01-22"
"23",6.22,"Southwest","2020-01-23"
"24",3.5,"Southwest","2020-01-24"
"25",3.44,"Southwest","2020-01-25"
"26",2.46,"Southwest","2020-01-26"
"27",3.24,"Southwest","2020-01-27"
"28",4.55,"Southwest","2020-01-28"
"29",7.08,"Southwest","2020-01-29"
"30",8.15,"Southwest","2020-01-30"
"31",4.55,"Southwest","2020-01-31"
"32",5.63,"Southwest","2020-02-01"
"33",2.56,"Southwest","2020-02-02"
"34",9.07,"Southwest","2020-02-03"
"35",3.81,"Southwest","2020-02-04"
"36",10.25,"Southwest","2020-02-05"
"37",4.15,"Southwest","2020-02-06"
"38",6.1,"Southwest","2020-02-07"
"39",9.75,"Southwest","2020-02-08"
"40",5.89,"Southwest","2020-02-09"
"41",6.26,"Southwest","2020-02-10"
"42",6.81,"Southwest","2020-02-11"
"43",8.78,"Southwest","2020-02-12"
"44",8.09,"Southwest","2020-02-13"
"45",8.62,"Southwest","2020-02-14"
"46",8.6,"Southwest","2020-02-15"
"47",9.52,"Southwest","2020-02-16"
"48",12.72,"Southwest","2020-02-17"
"49",5.26,"Southwest","2020-02-18"
"50",7.8,"Southwest","2020-02-19"
"51",8.44,"Southwest","2020-02-20"
"52",15.48,"Southwest","2020-02-21"
"53",15.12,"Southwest","2020-02-22"
"54",14.43,"Southwest","2020-02-23"
"55",12.59,"Southwest","2020-02-24"
"56",7.77,"Southwest","2020-02-25"
"57",2.58,"Southwest","2020-02-26"
"58",7.93,"Southwest","2020-02-27"
"59",9.33,"Southwest","2020-02-28"
"60",11.27,"Southwest","2020-02-29"
"61",6.64,"Southwest","2020-03-01"
"62",7.73,"Southwest","2020-03-02"
"63",5.68,"Southwest","2020-03-03"
"64",11.03,"Southwest","2020-03-04"
"65",16.53,"Southwest","2020-03-05"
"66",6.21,"Southwest","2020-03-06"
"67",18.25,"Southwest","2020-03-07"
"68",17.5,"Southwest","2020-03-08"
"69",11.39,"Southwest","2020-03-09"
"70",7.23,"Southwest","2020-03-10"
"71",10.95,"Southwest","2020-03-11"
"72",7.67,"Southwest","2020-03-12"
"73",11.09,"Southwest","2020-03-13"
"74",4.99,"Southwest","2020-03-14"
"75",20.42,"Southwest","2020-03-15"
"76",16.01,"Southwest","2020-03-16"
"77",13.82,"Southwest","2020-03-17"
"78",10.28,"Southwest","2020-03-18"
"79",7.74,"Southwest","2020-03-19"
"80",6.56,"Southwest","2020-03-20"
"81",22.08,"Southwest","2020-03-21"
"82",20.38,"Southwest","2020-03-22"
"83",7.43,"Southwest","2020-03-23"
"84",12.18,"Southwest","2020-03-24"
"85",15.85,"Southwest","2020-03-25"
"86",4.75,"Southwest","2020-03-26"
"87",15.37,"Southwest","2020-03-27"
"88",9.19,"Southwest","2020-03-28"
"89",10.1,"Southwest","2020-03-29"
"90",7.7,"Southwest","2020-03-30"
"91",10.25,"Southwest","2020-03-31"
"92",22.27,"Southwest","2020-04-01"
"93",23.57,"Southwest","2020-04-02"
"94",23.43,"Southwest","2020-04-03"
"95",21.06,"Southwest","2020-04-04"
"96",14.24,"Southwest","2020-04-05"
"97",21.68,"Southwest","2020-04-06"
"98",7.6,"Southwest","2020-04-07"
"99",17.31,"Southwest","2020-04-08"
"100",18.74,"Southwest","2020-04-09"
"101",19.57,"Southwest","2020-04-10"
"102",23.46,"Southwest","2020-04-11"
"103",13.35,"Southwest","2020-04-12"
"104",9.87,"Southwest","2020-04-13"
"105",17.74,"Southwest","2020-04-14"
"106",19.37,"Southwest","2020-04-15"
"107",18.36,"Southwest","2020-04-16"
"108",12.9,"Southwest","2020-04-17"
"109",22.68,"Southwest","2020-04-18"
"110",13.95,"Southwest","2020-04-19"
"111",26.02,"Southwest","2020-04-20"
"112",15.74,"Southwest","2020-04-21"
"113",20.84,"Southwest","2020-04-22"
"114",10.55,"Southwest","2020-04-23"
"115",13.13,"Southwest","2020-04-24"
"116",23.48,"Southwest","2020-04-25"
"117",17.71,"Southwest","2020-04-26"
"118",26.12,"Southwest","2020-04-27"
"119",17.21,"Southwest","2020-04-28"
"120",5.35,"Southwest","2020-04-29"
"121",11.8,"Southwest","2020-04-30"
"122",23.1,"Southwest","2020-05-01"
"123",12.05,"Southwest","2020-05-02"
"124",27.69,"Southwest","2020-05-03"
"125",21.57,"Southwest","2020-05-04"
"126",19.78,"Southwest","2020-05-05"
"127",28.46,"Southwest","2020-05-06"
"128",22.99,"Southwest","2020-05-07"
"129",22.57,"Southwest","2020-05-08"
"130",17.94,"Southwest","2020-05-09"
"131",11.83,"Southwest","2020-05-10"
"132",16.45,"Southwest","2020-05-11"
"133",27.98,"Southwest","2020-05-12"
"134",30.6,"Southwest","2020-05-13"
"135",7.35,"Southwest","2020-05-14"
"136",11.49,"Southwest","2020-05-15"
"137",23.69,"Southwest","2020-05-16"
"138",8.36,"Southwest","2020-05-17"
"139",5.67,"Southwest","2020-05-18"
"140",17.5,"Southwest","2020-05-19"
"141",30.29,"Southwest","2020-05-20"
"142",29.5,"Southwest","2020-05-21"
"143",23.13,"Southwest","2020-05-22"
"144",21.88,"Southwest","2020-05-23"
"145",20.98,"Southwest","2020-05-24"
"146",24.53,"Southwest","2020-05-25"
"147",26.04,"Southwest","2020-05-26"
"148",20.9,"Southwest","2020-05-27"
"149",12.52,"Southwest","2020-05-28"
"150",12,"Southwest","2020-05-29"
"151",16.02,"Southwest","2020-05-30"
"152",28.07,"Southwest","2020-05-31"
"153",29.89,"Southwest","2020-06-01"
"154",27.04,"Southwest","2020-06-02"
"155",24.75,"Southwest","2020-06-03"
"156",26.61,"Southwest","2020-06-04"
"157",24.44,"Southwest","2020-06-05"
"158",29.9,"Southwest","2020-06-06"
"159",29.81,"Southwest","2020-06-07"
"160",29.81,"Southwest","2020-06-08"
"161",28.24,"Southwest","2020-06-09"
"162",21.82,"Southwest","2020-06-10"
"163",28.59,"Southwest","2020-06-11"
"164",29.81,"Southwest","2020-06-12"
"165",31.87,"Southwest","2020-06-13"
"166",31.74,"Southwest","2020-06-14"
"167",30.1,"Southwest","2020-06-15"
"168",30.39,"Southwest","2020-06-16"
"169",30.54,"Southwest","2020-06-17"
"170",29.4,"Southwest","2020-06-18"
"171",25.31,"Southwest","2020-06-19"
"172",27.69,"Southwest","2020-06-20"
"173",20.84,"Southwest","2020-06-21"
"174",15.19,"Southwest","2020-06-22"
"175",11.22,"Southwest","2020-06-23"
"176",20.91,"Southwest","2020-06-24"
"177",25.68,"Southwest","2020-06-25"
"178",26.2,"Southwest","2020-06-26"
"179",19.44,"Southwest","2020-06-27"
"180",29.98,"Southwest","2020-06-28"
"181",29.93,"Southwest","2020-06-29"
"182",28.69,"Southwest","2020-06-30"
"183",27.75,"Southwest","2020-07-01"
"184",28.88,"Southwest","2020-07-02"
"185",28.84,"Southwest","2020-07-03"
"186",28.09,"Southwest","2020-07-04"
"187",28.32,"Southwest","2020-07-05"
"188",28.45,"Southwest","2020-07-06"
"189",26.4,"Southwest","2020-07-07"
"190",26.81,"Southwest","2020-07-08"
"191",24.68,"Southwest","2020-07-09"
"192",17.97,"Southwest","2020-07-10"
"193",19.03,"Southwest","2020-07-11"
"194",19.9,"Southwest","2020-07-12"
"195",23.41,"Southwest","2020-07-13"
"196",25.96,"Southwest","2020-07-14"
"197",24.88,"Southwest","2020-07-15"
"198",9.03,"Southwest","2020-07-16"
"199",26.14,"Southwest","2020-07-17"
"200",26.13,"Southwest","2020-07-18"
"201",10.04,"Southwest","2020-07-19"
"202",25.96,"Southwest","2020-07-20"
"203",17.29,"Southwest","2020-07-21"
"204",14.34,"Southwest","2020-07-22"
"205",23.7,"Southwest","2020-07-23"
"206",25.83,"Southwest","2020-07-24"
"207",26.14,"Southwest","2020-07-25"
"208",25.39,"Southwest","2020-07-26"
"209",15.55,"Southwest","2020-07-27"
"210",26.48,"Southwest","2020-07-28"
"211",23.19,"Southwest","2020-07-29"
"212",25.1,"Southwest","2020-07-30"
"213",24.96,"Southwest","2020-07-31"
"214",19.25,"Southwest","2020-08-01"
"215",9.35,"Southwest","2020-08-02"
"216",13.12,"Southwest","2020-08-03"
"217",14.64,"Southwest","2020-08-04"
"218",26.32,"Southwest","2020-08-05"
"219",24.74,"Southwest","2020-08-06"
"220",25.49,"Southwest","2020-08-07"
"221",25.34,"Southwest","2020-08-08"
"222",16.47,"Southwest","2020-08-09"
"223",23.91,"Southwest","2020-08-10"
"224",18.73,"Southwest","2020-08-11"
"225",26.56,"Southwest","2020-08-12"
"226",25.21,"Southwest","2020-08-13"
"227",25.12,"Southwest","2020-08-14"
"228",20.07,"Southwest","2020-08-15"
"229",9.95,"Southwest","2020-08-16"
"230",20.42,"Southwest","2020-08-17"
"231",23.27,"Southwest","2020-08-18"
"232",24.95,"Southwest","2020-08-19"
"233",23.92,"Southwest","2020-08-20"
"234",23.46,"Southwest","2020-08-21"
"235",22.96,"Southwest","2020-08-22"
"236",22.41,"Southwest","2020-08-23"
"237",21.03,"Southwest","2020-08-24"
"238",23.7,"Southwest","2020-08-25"
"239",6.34,"Southwest","2020-08-26"
"240",12.3,"Southwest","2020-08-27"
"241",11.47,"Southwest","2020-08-28"
"242",12.61,"Southwest","2020-08-29"
"243",21.14,"Southwest","2020-08-30"
"244",22.75,"Southwest","2020-08-31"
"245",17.09,"Southwest","2020-09-01"
"246",14.42,"Southwest","2020-09-02"
"247",22.11,"Southwest","2020-09-03"
"248",22.05,"Southwest","2020-09-04"
"249",7.6,"Southwest","2020-09-05"
"250",18.47,"Southwest","2020-09-06"
"251",12.32,"Southwest","2020-09-07"
"252",6,"Southwest","2020-09-08"
"253",7.14,"Southwest","2020-09-09"
"254",9.87,"Southwest","2020-09-10"
"255",21.51,"Southwest","2020-09-11"
"256",14.97,"Southwest","2020-09-12"
"257",12.36,"Southwest","2020-09-13"
"258",19.23,"Southwest","2020-09-14"
"259",14.12,"Southwest","2020-09-15"
"260",14.66,"Southwest","2020-09-16"
"261",19.28,"Southwest","2020-09-17"
"262",19.52,"Southwest","2020-09-18"
"263",21.19,"Southwest","2020-09-19"
"264",19.02,"Southwest","2020-09-20"
"265",19.92,"Southwest","2020-09-21"
"266",14.39,"Southwest","2020-09-22"
"267",18.26,"Southwest","2020-09-23"
"268",13.91,"Southwest","2020-09-24"
"269",16.94,"Southwest","2020-09-25"
"270",14.89,"Southwest","2020-09-26"
"271",13.73,"Southwest","2020-09-27"
"272",6.74,"Southwest","2020-09-28"
"273",10.89,"Southwest","2020-09-29"
"274",8.3,"Southwest","2020-09-30"
"275",13.15,"Southwest","2020-10-01"
"276",8.62,"Southwest","2020-10-02"
"277",7.94,"Southwest","2020-10-03"
"278",5.42,"Southwest","2020-10-04"
"279",12.41,"Southwest","2020-10-05"
"280",11.5,"Southwest","2020-10-06"
"281",12.11,"Southwest","2020-10-07"
"282",12.48,"Southwest","2020-10-08"
"283",13.85,"Southwest","2020-10-09"
"284",4.52,"Southwest","2020-10-10"
"285",15.56,"Southwest","2020-10-11"
"286",9.93,"Southwest","2020-10-12"
"287",15.88,"Southwest","2020-10-13"
"288",11.09,"Southwest","2020-10-14"
"289",2.28,"Southwest","2020-10-15"
"290",14.29,"Southwest","2020-10-16"
"291",14.11,"Southwest","2020-10-17"
"292",3.75,"Southwest","2020-10-18"
"293",6.6,"Southwest","2020-10-19"
"294",9.11,"Southwest","2020-10-20"
"295",6.08,"Southwest","2020-10-21"
"296",3.41,"Southwest","2020-10-22"
"297",9.3,"Southwest","2020-10-23"
"298",8.54,"Southwest","2020-10-24"
"299",8.41,"Southwest","2020-10-25"
"300",3.59,"Southwest","2020-10-26"
"301",3.46,"Southwest","2020-10-27"
"302",12.69,"Southwest","2020-10-28"
"303",5.24,"Southwest","2020-10-29"
"304",6.23,"Southwest","2020-10-30"
"305",8.75,"Southwest","2020-10-31"
"306",5.71,"Southwest","2020-11-01"
"307",7.34,"Southwest","2020-11-02"
"308",7.03,"Southwest","2020-11-03"
"309",11.7,"Southwest","2020-11-04"
"310",8.22,"Southwest","2020-11-05"
"311",9.55,"Southwest","2020-11-06"
"312",9.5,"Southwest","2020-11-07"
"313",11.01,"Southwest","2020-11-08"
"314",10.25,"Southwest","2020-11-09"
"315",8.66,"Southwest","2020-11-10"
"316",7.81,"Southwest","2020-11-11"
"317",11.02,"Southwest","2020-11-12"
"318",3.26,"Southwest","2020-11-13"
"319",10.52,"Southwest","2020-11-14"
"320",2.19,"Southwest","2020-11-15"
"321",3.27,"Southwest","2020-11-16"
"322",4.78,"Southwest","2020-11-17"
"323",6.52,"Southwest","2020-11-18"
"324",7.43,"Southwest","2020-11-19"
"325",5.8,"Southwest","2020-11-20"
"326",4.61,"Southwest","2020-11-21"
"327",1.4,"Southwest","2020-11-22"
"328",2.82,"Southwest","2020-11-23"
"329",4.48,"Southwest","2020-11-24"
"330",1.98,"Southwest","2020-11-25"
"331",1.66,"Southwest","2020-11-26"
"332",1.88,"Southwest","2020-11-27"
"333",8.54,"Southwest","2020-11-28"
"334",7.61,"Southwest","2020-11-29"
"335",1.92,"Southwest","2020-11-30"
"336",3.13,"Southwest","2020-12-01"
"337",8.76,"Southwest","2020-12-02"
"338",4.14,"Southwest","2020-12-03"
"339",2.58,"Southwest","2020-12-04"
"340",3.66,"Southwest","2020-12-05"
"341",3.33,"Southwest","2020-12-06"
"342",5.94,"Southwest","2020-12-07"
"343",4.57,"Southwest","2020-12-08"
"344",2.46,"Southwest","2020-12-09"
"345",7.33,"Southwest","2020-12-10"
"346",5.92,"Southwest","2020-12-11"
"347",1.82,"Southwest","2020-12-12"
"348",2.7,"Southwest","2020-12-13"
"349",2.8,"Southwest","2020-12-14"
"350",5.37,"Southwest","2020-12-15"
"351",5.08,"Southwest","2020-12-16"
"352",3.81,"Southwest","2020-12-17"
"353",5.62,"Southwest","2020-12-18"
"354",1.88,"Southwest","2020-12-19"
"355",2.16,"Southwest","2020-12-20"
"356",3.12,"Southwest","2020-12-21"
"357",3.01,"Southwest","2020-12-22"
"358",5.42,"Southwest","2020-12-23"
"359",2.03,"Southwest","2020-12-24"
"360",2.93,"Southwest","2020-12-25"
"361",2.14,"Southwest","2020-12-26"
"362",3.62,"Southwest","2020-12-27"
"363",2.78,"Southwest","2020-12-28"
"364",5.76,"Southwest","2020-12-29"
"365",1.84,"Southwest","2020-12-30"
"366",4.67,"Southwest","2020-12-31"
"367",3.74,"Southwest","2020-01-01"
"368",3.94,"Southwest","2020-01-02"
"369",3.95,"Southwest","2020-01-03"
"370",3.04,"Southwest","2020-01-04"
"371",3.4,"Southwest","2020-01-05"
"372",4.01,"Southwest","2020-01-06"
"373",5.31,"Southwest","2020-01-07"
"374",6.66,"Southwest","2020-01-08"
"375",5.48,"Southwest","2020-01-09"
"376",2.4,"Southwest","2020-01-10"
"377",1.05,"Southwest","2020-01-11"
"378",4.85,"Southwest","2020-01-12"
"379",2.09,"Southwest","2020-01-13"
"380",3.03,"Southwest","2020-01-14"
"381",2.82,"Southwest","2020-01-15"
"382",4.99,"Southwest","2020-01-16"
"383",6.65,"Southwest","2020-01-17"
"384",0.98,"Southwest","2020-01-18"
"385",6.42,"Southwest","2020-01-19"
"386",9.33,"Southwest","2020-01-20"
"387",4.5,"Southwest","2020-01-21"
"388",4.93,"Southwest","2020-01-22"
"389",5.85,"Southwest","2020-01-23"
"390",5.57,"Southwest","2020-01-24"
"391",3.04,"Southwest","2020-01-25"
"392",1.92,"Southwest","2020-01-26"
"393",2.89,"Southwest","2020-01-27"
"394",6.38,"Southwest","2020-01-28"
"395",9.42,"Southwest","2020-01-29"
"396",9,"Southwest","2020-01-30"
"397",4.91,"Southwest","2020-01-31"
"398",6.07,"Southwest","2020-02-01"
"399",1.78,"Southwest","2020-02-02"
"400",10.13,"Southwest","2020-02-03"
"401",2.79,"Southwest","2020-02-04"
"402",11.56,"Southwest","2020-02-05"
"403",3.58,"Southwest","2020-02-06"
"404",6.31,"Southwest","2020-02-07"
"405",10.94,"Southwest","2020-02-08"
"406",4.92,"Southwest","2020-02-09"
"407",6.69,"Southwest","2020-02-10"
"408",5.5,"Southwest","2020-02-11"
"409",8.95,"Southwest","2020-02-12"
"410",7.58,"Southwest","2020-02-13"
"411",11.15,"Southwest","2020-02-14"
"412",10.48,"Southwest","2020-02-15"
"413",9.51,"Southwest","2020-02-16"
"414",13.57,"Southwest","2020-02-17"
"415",5.7,"Southwest","2020-02-18"
"416",6.41,"Southwest","2020-02-19"
"417",12.19,"Southwest","2020-02-20"
"418",15.5,"Southwest","2020-02-21"
"419",15.16,"Southwest","2020-02-22"
"420",14.24,"Southwest","2020-02-23"
"421",12.53,"Southwest","2020-02-24"
"422",6.19,"Southwest","2020-02-25"
"423",5.14,"Southwest","2020-02-26"
"424",10.69,"Southwest","2020-02-27"
"425",11.35,"Southwest","2020-02-28"
"426",14.89,"Southwest","2020-02-29"
"427",12.14,"Southwest","2020-03-01"
"428",4.37,"Southwest","2020-03-02"
"429",4.32,"Southwest","2020-03-03"
"430",10.75,"Southwest","2020-03-04"
"431",17.23,"Southwest","2020-03-05"
"432",8.25,"Southwest","2020-03-06"
"433",18.62,"Southwest","2020-03-07"
"434",17.89,"Southwest","2020-03-08"
"435",15.13,"Southwest","2020-03-09"
"436",7.64,"Southwest","2020-03-10"
"437",11.22,"Southwest","2020-03-11"
"438",8.97,"Southwest","2020-03-12"
"439",10.04,"Southwest","2020-03-13"
"440",6.64,"Southwest","2020-03-14"
"441",20.21,"Southwest","2020-03-15"
"442",16.51,"Southwest","2020-03-16"
"443",8.61,"Southwest","2020-03-17"
"444",10.74,"Southwest","2020-03-18"
"445",7.76,"Southwest","2020-03-19"
"446",7.49,"Southwest","2020-03-20"
"447",22.04,"Southwest","2020-03-21"
"448",20.47,"Southwest","2020-03-22"
"449",5.93,"Southwest","2020-03-23"
"450",13.44,"Southwest","2020-03-24"
"451",15.84,"Southwest","2020-03-25"
"452",7.44,"Southwest","2020-03-26"
"453",17.61,"Southwest","2020-03-27"
"454",9.95,"Southwest","2020-03-28"
"455",9.3,"Southwest","2020-03-29"
"456",6.74,"Southwest","2020-03-30"
"457",9.04,"Southwest","2020-03-31"
"458",21.76,"Southwest","2020-04-01"
"459",23.72,"Southwest","2020-04-02"
"460",19.63,"Southwest","2020-04-03"
"461",16.58,"Southwest","2020-04-04"
"462",17.5,"Southwest","2020-04-05"
"463",22.43,"Southwest","2020-04-06"
"464",9.32,"Southwest","2020-04-07"
"465",17.57,"Southwest","2020-04-08"
"466",18.28,"Southwest","2020-04-09"
"467",17.08,"Southwest","2020-04-10"
"468",19.4,"Southwest","2020-04-11"
"469",13.09,"Southwest","2020-04-12"
"470",6.18,"Southwest","2020-04-13"
"471",16.83,"Southwest","2020-04-14"
"472",16.79,"Southwest","2020-04-15"
"473",17.65,"Southwest","2020-04-16"
"474",12.82,"Southwest","2020-04-17"
"475",19.1,"Southwest","2020-04-18"
"476",12,"Southwest","2020-04-19"
"477",26.71,"Southwest","2020-04-20"
"478",18.47,"Southwest","2020-04-21"
"479",21.33,"Southwest","2020-04-22"
"480",12.79,"Southwest","2020-04-23"
"481",13.05,"Southwest","2020-04-24"
"482",25.33,"Southwest","2020-04-25"
"483",12.33,"Southwest","2020-04-26"
"484",23.82,"Southwest","2020-04-27"
"485",14.93,"Southwest","2020-04-28"
"486",6.22,"Southwest","2020-04-29"
"487",9.95,"Southwest","2020-04-30"
"488",23.16,"Southwest","2020-05-01"
"489",10.86,"Southwest","2020-05-02"
"490",27.25,"Southwest","2020-05-03"
"491",21.09,"Southwest","2020-05-04"
"492",21.38,"Southwest","2020-05-05"
"493",27.28,"Southwest","2020-05-06"
"494",20.73,"Southwest","2020-05-07"
"495",19.14,"Southwest","2020-05-08"
"496",17.5,"Southwest","2020-05-09"
"497",11.21,"Southwest","2020-05-10"
"498",13.68,"Southwest","2020-05-11"
"499",24.03,"Southwest","2020-05-12"
"500",30.59,"Southwest","2020-05-13"
"501",8.11,"Southwest","2020-05-14"
"502",10.85,"Southwest","2020-05-15"
"503",24.95,"Southwest","2020-05-16"
"504",10.91,"Southwest","2020-05-17"
"505",4.82,"Southwest","2020-05-18"
"506",18.23,"Southwest","2020-05-19"
"507",30.48,"Southwest","2020-05-20"
"508",30.41,"Southwest","2020-05-21"
"509",23.86,"Southwest","2020-05-22"
"510",24.16,"Southwest","2020-05-23"
"511",23.63,"Southwest","2020-05-24"
"512",25.22,"Southwest","2020-05-25"
"513",25.61,"Southwest","2020-05-26"
"514",22.17,"Southwest","2020-05-27"
"515",9.71,"Southwest","2020-05-28"
"516",14.29,"Southwest","2020-05-29"
"517",15.13,"Southwest","2020-05-30"
"518",26.4,"Southwest","2020-05-31"
"519",30.64,"Southwest","2020-06-01"
"520",24.93,"Southwest","2020-06-02"
"521",23.3,"Southwest","2020-06-03"
"522",25.98,"Southwest","2020-06-04"
"523",24.94,"Southwest","2020-06-05"
"524",28.21,"Southwest","2020-06-06"
"525",30.4,"Southwest","2020-06-07"
"526",30,"Southwest","2020-06-08"
"527",28.27,"Southwest","2020-06-09"
"528",18.8,"Southwest","2020-06-10"
"529",26.78,"Southwest","2020-06-11"
"530",31.23,"Southwest","2020-06-12"
"531",32.19,"Southwest","2020-06-13"
"532",31.75,"Southwest","2020-06-14"
"533",31.35,"Southwest","2020-06-15"
"534",30.15,"Southwest","2020-06-16"
"535",31.23,"Southwest","2020-06-17"
"536",30,"Southwest","2020-06-18"
"537",22.02,"Southwest","2020-06-19"
"538",27,"Southwest","2020-06-20"
"539",23.68,"Southwest","2020-06-21"
"540",14.67,"Southwest","2020-06-22"
"541",9.82,"Southwest","2020-06-23"
"542",18.72,"Southwest","2020-06-24"
"543",23.57,"Southwest","2020-06-25"
"544",27.7,"Southwest","2020-06-26"
"545",19.41,"Southwest","2020-06-27"
"546",28.98,"Southwest","2020-06-28"
"547",28.72,"Southwest","2020-06-29"
"548",29.12,"Southwest","2020-06-30"
"549",28.4,"Southwest","2020-07-01"
"550",29.17,"Southwest","2020-07-02"
"551",28.02,"Southwest","2020-07-03"
"552",29.77,"Southwest","2020-07-04"
"553",27.82,"Southwest","2020-07-05"
"554",28.12,"Southwest","2020-07-06"
"555",27.01,"Southwest","2020-07-07"
"556",25.53,"Southwest","2020-07-08"
"557",26,"Southwest","2020-07-09"
"558",21.09,"Southwest","2020-07-10"
"559",12.69,"Southwest","2020-07-11"
"560",20.83,"Southwest","2020-07-12"
"561",21.07,"Southwest","2020-07-13"
"562",24.45,"Southwest","2020-07-14"
"563",26.26,"Southwest","2020-07-15"
"564",9.71,"Southwest","2020-07-16"
"565",28.85,"Southwest","2020-07-17"
"566",27.04,"Southwest","2020-07-18"
"567",10.94,"Southwest","2020-07-19"
"568",25.05,"Southwest","2020-07-20"
"569",17.35,"Southwest","2020-07-21"
"570",14.8,"Southwest","2020-07-22"
"571",21.58,"Southwest","2020-07-23"
"572",25.88,"Southwest","2020-07-24"
"573",26.56,"Southwest","2020-07-25"
"574",25.42,"Southwest","2020-07-26"
"575",19.14,"Southwest","2020-07-27"
"576",25.7,"Southwest","2020-07-28"
"577",23.46,"Southwest","2020-07-29"
"578",25.25,"Southwest","2020-07-30"
"579",23.96,"Southwest","2020-07-31"
"580",22.1,"Southwest","2020-08-01"
"581",12.31,"Southwest","2020-08-02"
"582",13.86,"Southwest","2020-08-03"
"583",16.2,"Southwest","2020-08-04"
"584",25.62,"Southwest","2020-08-05"
"585",24.55,"Southwest","2020-08-06"
"586",23.41,"Southwest","2020-08-07"
"587",25.63,"Southwest","2020-08-08"
"588",17.01,"Southwest","2020-08-09"
"589",23.62,"Southwest","2020-08-10"
"590",16.74,"Southwest","2020-08-11"
"591",26.6,"Southwest","2020-08-12"
"592",25.08,"Southwest","2020-08-13"
"593",25.63,"Southwest","2020-08-14"
"594",20.99,"Southwest","2020-08-15"
"595",9.74,"Southwest","2020-08-16"
"596",18.85,"Southwest","2020-08-17"
"597",21.98,"Southwest","2020-08-18"
"598",24.32,"Southwest","2020-08-19"
"599",23.99,"Southwest","2020-08-20"
"600",21.62,"Southwest","2020-08-21"
"601",23.19,"Southwest","2020-08-22"
"602",21.85,"Southwest","2020-08-23"
"603",21.26,"Southwest","2020-08-24"
"604",23.13,"Southwest","2020-08-25"
"605",9.09,"Southwest","2020-08-26"
"606",13.22,"Southwest","2020-08-27"
"607",13.87,"Southwest","2020-08-28"
"608",13.77,"Southwest","2020-08-29"
"609",19.44,"Southwest","2020-08-30"
"610",22.61,"Southwest","2020-08-31"
"611",17.88,"Southwest","2020-09-01"
"612",13.26,"Southwest","2020-09-02"
"613",21.88,"Southwest","2020-09-03"
"614",21.48,"Southwest","2020-09-04"
"615",8.52,"Southwest","2020-09-05"
"616",19.74,"Southwest","2020-09-06"
"617",8.8,"Southwest","2020-09-07"
"618",6.58,"Southwest","2020-09-08"
"619",8.09,"Southwest","2020-09-09"
"620",11.59,"Southwest","2020-09-10"
"621",20.24,"Southwest","2020-09-11"
"622",16.12,"Southwest","2020-09-12"
"623",13.81,"Southwest","2020-09-13"
"624",20.37,"Southwest","2020-09-14"
"625",14.62,"Southwest","2020-09-15"
"626",14.84,"Southwest","2020-09-16"
"627",18.88,"Southwest","2020-09-17"
"628",19.96,"Southwest","2020-09-18"
"629",20.62,"Southwest","2020-09-19"
"630",20.66,"Southwest","2020-09-20"
"631",19.98,"Southwest","2020-09-21"
"632",15.43,"Southwest","2020-09-22"
"633",18.27,"Southwest","2020-09-23"
"634",12.81,"Southwest","2020-09-24"
"635",16.86,"Southwest","2020-09-25"
"636",14.66,"Southwest","2020-09-26"
"637",13.77,"Southwest","2020-09-27"
"638",10.26,"Southwest","2020-09-28"
"639",12.39,"Southwest","2020-09-29"
"640",8.75,"Southwest","2020-09-30"
"641",12.47,"Southwest","2020-10-01"
"642",8.61,"Southwest","2020-10-02"
"643",8.75,"Southwest","2020-10-03"
"644",4.2,"Southwest","2020-10-04"
"645",12.85,"Southwest","2020-10-05"
"646",12.81,"Southwest","2020-10-06"
"647",12.05,"Southwest","2020-10-07"
"648",11.29,"Southwest","2020-10-08"
"649",14.2,"Southwest","2020-10-09"
"650",3.94,"Southwest","2020-10-10"
"651",13.68,"Southwest","2020-10-11"
"652",7.25,"Southwest","2020-10-12"
"653",15.97,"Southwest","2020-10-13"
"654",11.31,"Southwest","2020-10-14"
"655",1.91,"Southwest","2020-10-15"
"656",13.79,"Southwest","2020-10-16"
"657",14.36,"Southwest","2020-10-17"
"658",3.87,"Southwest","2020-10-18"
"659",5.12,"Southwest","2020-10-19"
"660",10.59,"Southwest","2020-10-20"
"661",5.37,"Southwest","2020-10-21"
"662",3.66,"Southwest","2020-10-22"
"663",10.75,"Southwest","2020-10-23"
"664",8.13,"Southwest","2020-10-24"
"665",7.35,"Southwest","2020-10-25"
"666",4.31,"Southwest","2020-10-26"
