Name,longitude,latitude,West,Ottawa,Northwest,Essa,Toronto,Northeast,Bruce,Southwest,Niagara,East
ST THOMAS WPCP,-81.2050116666667,42.768335,True,False,False,False,False,False,False,False,False,False
VINELAND RITTENHOUSE,-79.4166666666667,43.1666666666667,False,False,False,False,False,False,False,False,True,False
WELLAND,-79.2611383333333,42.9925266666667,False,False,False,False,False,False,False,False,True,False
WINDSOR A,-82.9555555555555,42.2755555555556,True,False,False,False,False,False,False,False,False,False
BRANTFORD MOE,-80.2333333333333,43.1333333333333,False,False,False,False,False,False,False,True,False,False
CULLODEN EASEY,-80.8466833333333,42.8894555555556,True,False,False,False,False,False,False,False,False,False
FERGUS SHAND DAM,-80.330305,43.7347466666667,False,False,False,False,False,False,False,True,False,False
FOLDENS,-80.7808433333333,43.018355,False,False,False,False,False,False,False,True,False,False
GLEN ALLAN,-80.7103016666667,43.683905,False,False,False,False,False,False,False,True,False,False
ILDERTON BEAR CREEK,-81.4333333333333,43.05,True,False,False,False,False,False,False,False,False,False
LONDON INT'L AIRPORT,-81.1511111111111,43.0330555555556,True,False,False,False,False,False,False,False,False,False
ROSEVILLE,-80.4736266666667,43.3536183333333,False,False,False,False,False,False,False,True,False,False
RUSKVIEW,-80.1333333333333,44.2333333333333,False,False,False,False,False,False,False,True,False,False
STRATFORD WWTP,-81.0047383333333,43.3688933333333,False,False,False,False,False,False,False,True,False,False
WATERLOO WELLINGTON A,-80.3833333333333,43.45,False,False,False,False,False,False,False,True,False,False
WOODSTOCK,-80.7705666666667,43.1361233333333,False,False,False,False,False,False,False,True,False,False
BELLEVILLE,-77.394735,44.15057,False,False,False,False,False,False,False,False,False,True
BOWMANVILLE MOSTERT,-78.6666666666667,43.9166666666667,False,False,False,False,True,False,False,False,False,False
BURKETON MCLAUGHLIN,-78.8,44.0333333333333,False,False,False,False,True,False,False,False,False,False
COBOURG STP,-78.1833333333333,43.9666666666667,False,False,False,False,False,False,False,False,False,True
CRESSY,-76.85,44.1,False,False,False,False,False,False,False,False,False,True
GEORGETOWN WWTP,-79.8791716666667,43.640005,False,False,False,False,False,False,False,True,False,False
HAMILTON A,-79.9341766666667,43.1716866666667,False,False,False,False,False,False,False,True,False,False
JANETVILLE,-78.6333333333333,44.2166666666667,False,False,False,False,False,False,False,False,False,True
KING SMOKE TREE,-79.5166666666667,44.0166666666667,False,False,False,True,False,False,False,False,False,False
MILLGROVE,-79.9666666666667,43.3166666666667,False,False,False,False,False,False,False,True,False,False
ORANGEVILLE MOE,-80.0864066666667,43.9183516666667,False,False,False,False,False,False,False,True,False,False
OSHAWA WPCP,-78.8333333333333,43.8666666666667,False,False,False,False,True,False,False,False,False,False
RICHMOND HILL,-79.4477983333333,43.8772483333333,False,False,False,False,True,False,False,False,False,False
TORONTO,-79.4,43.6666666666667,False,False,False,False,True,False,False,False,False,False
TORONTO LESTER B. PEARSON INT'L A,-79.6305555555556,43.6772222222222,False,False,False,False,True,False,False,False,False,False
TRENTON A,-77.5333333333333,44.1166666666667,False,False,False,False,False,False,False,False,False,True
MOUNTAINVIEW,-77.3016916666667,44.05197,False,False,False,False,False,False,False,False,False,True
TORONTO BUTTONVILLE A,-79.37,43.8622222222222,False,False,False,False,True,False,False,False,False,False
LINDSAY FROST,-78.7402783333333,44.3383533333333,False,False,False,True,False,False,False,False,False,False
MINDEN,-78.7166666666667,44.9333333333333,False,False,False,True,False,False,False,False,False,False
PETERBOROUGH A,-78.3666666666667,44.2333333333333,False,False,False,False,False,False,False,False,False,True
PETERBOROUGH TRENT U,-78.3,44.3666666666667,False,False,False,False,False,False,False,False,False,True
ATTAWAPISKAT A,-82.4319444444444,52.92750000000001,False,False,True,False,False,False,False,False,False,False
BIG TROUT LAKE A,-89.8969444444444,53.8177777777778,False,False,True,False,False,False,False,False,False,False
BIG TROUT LAKE,-89.8916666666667,53.81611111111109,False,False,True,False,False,False,False,False,False,False
EAR FALLS (AUT),-93.2213888888889,50.6305555555556,False,False,True,False,False,False,False,False,False,False
FORT SEVERN A,-87.6761111111111,56.0188888888889,False,False,True,False,False,False,False,False,False,False
LANSDOWNE HOUSE A,-87.9341666666667,52.1955555555556,False,False,True,False,False,False,False,False,False,False
LANSDOWNE HOUSE (AUT),-87.9361111111111,52.1961111111111,False,False,True,False,False,False,False,False,False,False
MUSKRAT DAM,-91.7627777777778,53.4413888888889,False,False,True,False,False,False,False,False,False,False
PEAWANUCK (AUT),-85.4333333333333,54.9833333333333,False,False,True,False,False,False,False,False,False,False
PEAWANUCK A,-85.4433333333333,54.9880555555556,False,False,True,False,False,False,False,False,False,False
PICKLE LAKE (AUT),-90.21777972222222,51.4491669444444,False,False,True,False,False,False,False,False,False,False
RED LAKE A,-93.79305555555561,51.0672222222222,False,False,True,False,False,False,False,False,False,False
SANDY LAKE A,-93.3444444444444,53.0641666666667,False,False,True,False,False,False,False,False,False,False
ATIKOKAN (AUT),-91.6280555555556,48.7611111111111,False,False,True,False,False,False,False,False,False,False
FORT FRANCES RCS,-93.4388894444444,48.6511111111111,False,False,True,False,False,False,False,False,False,False
MINE CENTRE SOUTHWEST,-92.6227777777778,48.7597388888889,False,False,True,False,False,False,False,False,False,False
DRYDEN REGIONAL,-92.7441666666667,49.8275,False,False,True,False,False,False,False,False,False,False
KENORA RCS,-94.3777777777778,49.79055555555559,False,False,True,False,False,False,False,False,False,False
KENORA A,-94.3630555555556,49.7883333333333,False,False,True,False,False,False,False,False,False,False
RAWSON LAKE (AUT),-93.7327783333333,49.66416694444441,False,False,True,False,False,False,False,False,False,False
ROYAL ISLAND (AUT),-94.76305555555561,49.4686111111111,False,False,True,False,False,False,False,False,False,False
SIOUX LOOKOUT A,-91.9080555555555,50.1141666666667,False,False,True,False,False,False,False,False,False,False
SIOUX LOOKOUT AIRPORT,-91.9055555555556,50.1141666666667,False,False,True,False,False,False,False,False,False,False
ARMSTRONG (AUT),-88.9052777777778,50.2936111111111,False,False,True,False,False,False,False,False,False,False
ARMSTRONG A,-88.9097222222222,50.2902777777778,False,False,True,False,False,False,False,False,False,False
CAMERON FALLS (AUT),-88.3447222222222,49.1538888888889,False,False,True,False,False,False,False,False,False,False
CARIBOU ISLAND (AUT),-85.8333333333333,47.3333333333333,False,False,True,False,False,False,False,False,False,False
GERALDTON A,-86.9386111111111,49.7786111111111,False,False,True,False,False,False,False,False,False,False
GERALDTON A,-86.9886111111111,49.7786111111111,False,False,True,False,False,False,False,False,False,False
GERALDTON AIRPORT,-86.93232,49.78090999999999,False,False,True,False,False,False,False,False,False,False
HAZELWOOD,-89.2666666666667,48.4666666666667,False,False,True,False,False,False,False,False,False,False
MARATHON A,-86.3458333333333,48.7572222222222,False,False,True,False,False,False,False,False,False,False
PUKASKWA (AUT),-86.2872222222222,48.60777777777781,False,False,True,False,False,False,False,False,False,False
TERRACE BAY AIRPORT,-87.0916780555556,48.8155705555556,False,False,True,False,False,False,False,False,False,False
THUNDER BAY,-89.3216666666667,48.3719444444444,False,False,True,False,False,False,False,False,False,False
THUNDER BAY A,-89.3216666666667,48.3719444444444,False,False,True,False,False,False,False,False,False,False
THUNDER BAY BURWOOD,-89.27825,48.4139444444444,False,False,True,False,False,False,False,False,False,False
THUNDER BAY CS,-89.3272222222222,48.3694444444444,False,False,True,False,False,False,False,False,False,False
UPSALA (AUT),-90.46666666666671,49.03333333333331,False,False,True,False,False,False,False,False,False,False
WELCOME ISLAND (AUT),-89.1194444444444,48.36916666666669,False,False,True,False,False,False,False,False,False,False
LITTLE FLATLAND ISLAND (AUT),-88.3058333333333,49.69,False,False,True,False,False,False,False,False,False,False
LAKE SUPERIOR PROVINCIAL PARK,-84.8141666666667,47.7230555555556,False,False,False,False,False,True,False,False,False,False
SAULT STE MARIE A,-84.5097222222222,46.485,False,False,False,False,False,True,False,False,False,False
SAULT STE. MARIE AIRPORT,-84.5166666666667,46.4780555555556,False,False,False,False,False,True,False,False,False,False
WAWA A,-84.7863888888889,47.96694444444439,False,False,False,False,False,True,False,False,False,False
KILLARNEY (AUT),-81.4833333333333,45.9666666666667,False,False,False,False,False,True,False,False,False,False
CHAPLEAU A,-83.3469444444444,47.8202777777778,False,False,False,False,False,True,False,False,False,False
MONETVILLE 2,-80.3030555555556,46.21527777777779,False,False,False,False,False,True,False,False,False,False
SUDBURY CLIMATE,-80.7961333333333,46.63224722222219,False,False,False,False,False,True,False,False,False,False
BONNER LAKE,-82.1236111111111,49.38333333333329,False,False,False,False,False,True,False,False,False,False
EARLTON A,-79.8488888888889,47.695,False,False,False,False,False,True,False,False,False,False
EARLTON CLIMATE,-79.8488888888889,47.695,False,False,False,False,False,True,False,False,False,False
KAPUSKASING A,-82.4683333333333,49.4116666666667,False,False,False,False,False,True,False,False,False,False
KAPUSKASING CDA ON,-82.4436111111111,49.4063888888889,False,False,False,False,False,True,False,False,False,False
KIRKLAND LAKE CS,-80.0,48.15000000000001,False,False,False,False,False,True,False,False,False,False
MOOSONEE,-80.6077777777778,51.2911111111111,False,False,False,False,False,True,False,False,False,False
MOOSONEE RCS,-80.6180555555556,51.2916666666667,False,False,False,False,False,True,False,False,False,False
NAGAGAMI (AUT),-84.1636944444444,49.7468333333333,False,False,False,False,False,True,False,False,False,False
OGOKI POST A,-85.9011111111111,51.6586111111111,False,False,True,False,False,False,False,False,False,False
TIMMINS CLIMATE,-81.3902777777778,48.55722222222221,False,False,False,False,False,True,False,False,False,False
TIMMINS A,-81.3766666666667,48.57055555555559,False,False,False,False,False,True,False,False,False,False
ALGONQUIN PARK EAST GATE,-78.2666666666667,45.5333333333333,False,False,False,True,False,False,False,False,False,False
NORTH BAY A,-79.4241666666667,46.3638888888889,False,False,False,False,False,True,False,False,False,False
NORTH BAY AIRPORT,-79.4025,46.37499999999999,False,False,False,False,False,True,False,False,False,False
GORE BAY-MANITOULIN,-82.5672222222222,45.88166666666671,False,False,False,False,False,True,False,False,False,False
GORE BAY CLIMATE,-82.5666666666667,45.8833333333333,False,False,False,False,False,True,False,False,False,False
GREAT DUCK ISLAND (AUT),-82.95,45.6333333333333,False,False,False,False,False,True,False,False,False,False
APPLETON,-76.112805,45.18584,False,False,False,False,False,False,False,False,False,True
BROCKVILLE CLIMATE,-75.7483333333333,44.6352777777778,False,False,False,False,False,False,False,False,False,True
GRENADIER ISLAND,-75.85,44.4166666666667,False,False,False,False,False,False,False,False,False,True
KEMPTVILLE CS,-75.6333333333333,45.0,False,False,False,False,False,False,False,False,False,True
KINGSTON CLIMATE,-76.5994444444444,44.2233333333333,False,False,False,False,False,False,False,False,False,True
KINGSTON A,-76.5966666666667,44.2258333333333,False,False,False,False,False,False,False,False,False,True
MOOSE CREEK WELLS,-74.9627777777778,45.2511111111111,False,False,False,False,False,False,False,False,False,True
OMPAH-SEITZ,-76.7839133333333,45.053625,False,False,False,False,False,False,False,False,False,True
OTTAWA CDA RCS,-75.7166666666667,45.3833333333333,False,True,False,False,False,False,False,False,False,False
OTTAWA INTL A,-75.6666666666667,45.31666666666671,False,True,False,False,False,False,False,False,False,False
PEMBROKE CLIMATE,-77.2522222222222,45.8602777777778,False,False,False,True,False,False,False,False,False,False
PETAWAWA AWOS 2,-77.3166666666667,45.95,False,False,False,True,False,False,False,False,False,False
